😀	obraz, režanje, režeči obraz
🗝️	ključ, ključavnica, namig, star ključ, staro
🔨	kladivo, orodje
🪓	cepljenje, drva, les, sekanje, sekira
⛏️	kramp, orodje, rudarjenje
⚒️	kladivo, kladivo in kramp, kramp, orodje
🛠️	kladivo, kladivo in ključ, ključ, orodje
🗡️	bodalo, nož, orožje
⚔️	meči, orožje, prekrižana meča, prekrižano
🔫	orodje, orožje, pištola, revolver
🏹	lok, lok in puščica, lokostrelec, orodje, orožje, puščica, strelec, zodiak
🛡️	orožje, ščit
🔧	ključ za matice, orodje
🔩	matica, matica in vijak, orodje, vijak
⚙️	orodje, zobnik
🗜️	orodje, primež, stiskanje
⚖️	orodje, pravičnost, ravnovesje, tehtnica, teža, zodiak
🦯	invalid, palica za slepe, slepota
🔗	člen
⛓️	veriga, verige
🧰	mehanik, orodje, zaboj, zaboj za orodje
🧲	magnet, magnetno, podkev, privlačnost
⚗️	destilator, kemija, orodje
🧪	eksperiment, epruveta, kemija, kemik, laboratorij, znanost
🧫	bakterije, biolog, biologija, kultura, laboratorij, petrijevka
🧬	biolog, dnk, evolucija, gen, genetika, življenje
🔬	mikroskop, orodje
🔭	orodje, teleskop
📡	antena, krožnik, satelitska antena, satelitsko
💉	bolno, igla, injekcija, medicina, orodje, zdravnik
🩸	kaplja krvi, krvodajalstvo, medicina, menstruacija, zdravstvo
💊	bolno, tableta, zdravilo, zdravnik
🩹	hanzaplast, rana, samolepilni obliž
🩺	medicina, pljuča, prsni koš, srce, stetoskop, zdravnik
🚪	vrata
🛏️	hotel, postelja, spanje
🛋️	hotel, kavč, kavč in svetilka, svetilka
🪑	sedeti, sedež, stol
🚽	stranišče, straniščna školjka
🚿	tuš, voda
🛁	banja, kad
🪒	britev, britje, britvica, ostro
🧴	krema za sončenje, losjon, steklenička losjona, vlažilna krema, šampon
🧷	plenica, punk rock, varnostna zaponka
🧹	metla, pometanje, čarovnica, čiščenje
🧺	kmetovanje, košara, perilo, piknik
🧻	papirnate brisače, toaletni papir, zvitek papirja
🧼	kopanje, kos, milo, pena, posodica za milo, čiščenje
🧽	porozno, spužva, vpojno, čiščenje
🧯	gasilni aparat, gašenje, ogenj, pogasiti
🛒	košarica, nakupovalni voziček, nakupovanje, voziček
🚬	cigara, cigareta, kajenje
⚰️	krsta, smrt
⚱️	pogreb, smrt, žara
🗿	kip, moai, obraz
🏧	avtomat, bankomat, denar, znak za bankomat
🚮	koš, smeti, znak za smeti v košu
🚰	piti, pitna voda, pitno, voda
♿️	dostop, invalidski voziček
🚹️	moški, stranišče, stranišče za moške, wc
🚺️	stranišče, stranišče za ženske, wc, ženska
🚻	javno stranišče, wc
🚼️	dojenček, previjanje, simbol dojenčka
🚾	stranišče, voda, wc
🛂	nadzor, potni list, pregled dokumentov
🛃	carina, carinik
🛄	prevzem, prevzem prtljage, prtljaga
🛅	kovčki, omarica, prtljaga, prtljaga v garderobi
⚠️	opozorilo
🚸	otroci prečkajo cesto, otrok, pešec, prehod, promet
⛔️	ne, ni dovoljeno, ni prehoda, prepovedano, promet, vstop
🚫	ne, prepovedano, vstop
🚳	kolo, ne, ni dovoljeno, prepovedano, prepovedano za kolesa, vozilo
🚭️	kajenje, ne, ni dovoljeno, prepovedano, prepovedano kajenje
🚯	ne, ni dovoljeno, odlagati, prepovedano, prepovedano odlaganje smeti, smeti
🚱	ne, ni dovoljeno, piti, pitno, prepovedati, voda, voda ni pitna
🚷	ne, ni dovoljeno, pešec, prepovedano, prepovedano za pešce
📵	mobilni telefoni prepovedani, mobilnik, mobilno, ne, ni dovoljeno, prepovedano, telefon
🔞	18, mladoletno, ne, ni dovoljeno, omejitev starosti, osemnajst, prepovedano, prepovedano za mlajše od 18 let
☢️	radioaktivno
☣️	biološka nevarnost, biološki poskusi, bionevarnost, tvegano, znak
⬆️	glavno, puščica, puščica gor, sever, smer
↗️	puščica, puščica desno gor, severovzhod, smer, stransko
➡️	glavno, puščica, puščica desno, smer, vzhod
↘️	jugovzhod, puščica, puščica desno dol, smer, stransko
⬇️	glavno, jug, navzdol, puščica, puščica dol, smer
↙️	jugozahod, puščica, puščica levo dol, smer, stransko
⬅️	glavno, puščica, puščica levo, smer, zahod
↖️	puščica, puščica levo gor, severozahodno, smer, stransko
↕️	puščica, puščica gor dol
↔️	puščica, puščica levo desno
↩️	puščica, puščica desno, ki se ukrivlja v levo
↪️	puščica, puščica levo, ki se ukrivlja v desno
⤴️	puščica, puščica desno, ki se ukrivlja gor
⤵️	navzdol, puščica, puščica desno, ki se ukrivlja dol
🔃	navpični puščici, ki se ukrivljata v smeri urinega kazalca, puščica, smer urinega kazalca, vnovično nalaganje
🔄	gumb s puščicama, ki se ukrivljata v obratni smeri urinega kazalca, nasprotna smer urinega kazalca, nazaj, puščica
🔙	nazaj, puščica, puščica nazaj
🔚	konec, puščica, puščica konec
🔛	puščica, puščica NAPREJ!, vklop, znak
🔜	kmalu, puščica, puščica kmalu
🔝	navzgor, puščica, puščica na vrh, zgoraj
🛐	božji hram, vera, čaščenje
⚛️	ateist, atom, simbol za atom
🕉️	hinduistično, om, vera
✡️	david, davidova zvezda, jud, judovsko, vera, zvezda
☸️	budistično, darma, kolo, kolo darme, vera
☯️	jang, jin, jin jang, tao, taoistično, vera
✝️	križ, krščanski križ, krščansko, vera
☦️	križ, krščansko, pravoslavni križ, vera
☪️	islam, muslimansko, vera, zvezda in polmesec
☮️	mir, simbol za mir
🕎	menora, namizni svečnik, svečnik, vera
🔯	sreča, zvezda, šestkraka zvezda s piko
♈️	astrološki znak ovna, oven, zodiak
♉️	bik, vol, zodiak
♊️	dvojčka, zodiak
♋️	rak, zodiak
♌️	lev, zodiak
♍️	deva, devica, zodiak
♎️	pravičnost, ravnovesje, tehnica, tehtnica, zodiak
♏️	astrološki znak škorpijona, zodiak, škorpijon
♐️	strelec, zodiak
♑️	koza, kozorog, zodiak
♒️	nosec, voda, vodnar, zodiak
♓️	riba, ribi, zodiak
⛎	kača, kačenosec, nosec, zodiak
🔀	gumb za naključno predvajanje, prekrižano, puščica
🔁	gumb za vnovično predvajanje, ponavljanje, puščica, smer urnega kazalca
🔂	enkratno, gumb za vnovično posamezno predvajanje, puščica, smer urnega kazalca
▶	desno, gumb za predvajanje, predvajanje, puščica, trikotnik
⏩	dvojno, gumb za hitro previjanje naprej, hitro, naprej, puščica
⏭	gumb za naslednjo skladbo, naslednja skladba, naslednji prizor, puščica, trikotnik
⏯	desno, gumb za predvajanje ali zaustavitev, predvajanje, puščica, trikotnik, zaustavitev
◀	gumb za predvajanje nazaj, levo, nazaj, puščica, trikotnik
⏪	dvojno, gumb za hitro previjanje nazaj, previjanje nazaj, puščica
⏮	gumb za zadnjo skladbo, prejšnja skladba, prejšnji prizor, puščica, trikotnik
🔼	gumb, gumb za gor, puščica, rdeče
⏫	dvojno, gumb za hitro gor, puščica
🔽	gumb, gumb za dol, navzdol, puščica, rdeče
⏬	dvojno, gumb za hitro dol, navzdol, puščica
⏸️	dvojno, gumb za zaustavitev, navpično, stolpec, zaustavitev
⏹️	gumb za ustavitev, kvadrat, ustavitev
⏺️	gumb za snemanje, krog, snemanje
⏏️	gumb za izvrženje, izvrženje
🎦	film, kamera, kino
🔅	gumb za zatemnitev, nizko, svetlost, zatemnitev
🔆	gumb za svetlost, svetlo, svetlost
📶	antena, mobilnik, mobilno, signal, stolpec, telefon
📳	mobilnik, mobilno, način, način vibriranja, telefon, vibriranje
📴	izklopljeno, mobilni telefon izklopljen, mobilnik, mobilno, telefon
♀️	dekle, znak za ženski spol, ženska
♂️	fant, moški, znak za moški spol
⚕️	eskulapova palica, medicina, osebje, simbol zdravstva, zdravnik, zdravstvo
♾️	neomejeno, neskončnost, univerzalno, večno
♻️	reciklirati, simbol za recikliranje
⚜	lilija
🔱	ladja, orodje, sidro, trizob, trizobo znamenje, znamenje
📛	ime, značka, značka za ime
🔰	cik-cak, japonski simbol za začetnika, japonsko, list, orodje, puščica, rumeno, začetnik, zeleno
⭕️	krog, o, rdeč, velik, velik prazen krog
✅	gumb, gumb s kljukico, kljukica, potrditev, ✓
☑️	kljukica, polje, potrditveno polje s kjukico, potrditveno polje s kljukico, ✓
✔️	kljukica, znak, ✓
✖️	množenje, množiti, prekliči, x, znak, znak za množenje, ×
❌	križec, množenje, množiti, oznaka, preklic, x, ×
❎	gumb s križcem, kvadrat, oznaka, x, ×
➕	+, matematika, plus, znak, znak za plus
➖	-, matematika, minus, znak, znak za minus, −
➗	deljenje, matematika, znak, znak za deljenje, ÷
➰	pentlja, spirala, zanka, zavita pentlja
➿	dvojna zavita pentlja, dvojno, pentlja, spirala, zanka
〽️	part, znak, znak za part
✳️	*, zvezdica, zvezdica z osmimi špicami
✴️	*, osemkraka zvezda, zvezda
❇️	*, iskra
‼️	!, !!, dva klicaja, dvojni klicaj, klicaj, ločilo, znak
⁉️	!, !?, ?, klicaj, klicaj in vprašaj, klicaj-vprašaj, ločilo, vprašaj, znak
❓️	?, ločilo, vprašaj, znak
❔	?, bel vprašaj, bel vprašanj, ločilo, obrobljeno, oznaka, vprašaj
❕	!, bel klicaj, klicaj, obrobljeno, znak
❗️	!, klicaj, ločilo, znak
〰️	ločilo, pomišljaj, valovit pomišljaj, valovito
©️	avtorske pravice, c
®️	r, registrirano
™️	TM, blagovna znamka, znak
#⃣	keycap, keycap: #
*⃣	keycap, keycap: *
0⃣	keycap, keycap: 0
1⃣	keycap, keycap: 1
2⃣	keycap, keycap: 2
3⃣	keycap, keycap: 3
4⃣	keycap, keycap: 4
5⃣	keycap, keycap: 5
6⃣	keycap, keycap: 6
7⃣	keycap, keycap: 7
8⃣	keycap, keycap: 8
9⃣	keycap, keycap: 9
🔟	keycap, keycap: 10
🔠	latinica, velike črke, vnos, vnos velikih črk latinice, črke
🔡	abcd, latinica, male črke, vnos, vnos malih črk latinice, črke
🔢	1234, vnos, vnos številk, številke
🔣	vnos, vnos simbolov
🔤	abc, abeceda, latinica, vnos, vnos črk latinice, črke
🅰️	a, gumb s črko a (krvna skupina), kri
🆎	ab, gumb AB (krvna skupina), kri
🅱️	b, gumb s črko b (krvna skupina), kri
🆑	cl, gumb CL
🆒	frajersko, gumb COOL
🆓	gumb FREE, prosto
ℹ️	i, informacije, vir informacij
🆔	gumb ID, id, identiteta
Ⓜ️	krog, m, črka m v krogu
🆕	gumb NEW, novo
🆖	gumb NG, ng
🅾️	gumb s črko O (krvna skupina), kri, o
🆗	gumb OK, v redu
🅿️	gumb s črko p, parkiranje
🆘	gumb SOS, na pomoč, sos
🆙	gumb z besedo up in klicajem, navzgor, znak
🆚	gumb VS, proti
🈁	gumb za »tukaj« v japonščini, japonsko, katakana, pisava, tukaj
🈂️	japonski znak za "napitnino" v kvadratu, japonsko, katakana, napitnina, pisava, postrežnina
🈷	ideogram, japonski znak za "mesečni znesek" v kvadratu, japonsko, mesečni znesek, pojmovni znak
🈶	gumb za »ni brezplačno« v japonščini, ideogram, japonsko, ni brezplačno, plačljivo, pojmovni znak
🈯	gumb za »rezervirano« v japonščini, ideogram, japonsko, pojmovni znak, rezervirano
🉐	gumb za »ugodno« v japonščini, ideogram, japonsko, pojmovni znak, ugoden nakup
🈹	gumb za »popust« v japonščini, ideogram, japonsko, pojmovni znak, popust
🈚	brezplačno, gumb za »brezplačno« v japonščini, ideogram, japonsko, pojmovni znak
🈲	gumb za »prepovedano« v japonščini, ideogram, japonsko, pojmovni znak, prepovedano
🉑	gumb za »sprejemljivo« v japonščini, ideogram, japonsko, pojmovni znak, sprejemljivo
🈸	gumb za »aplikacija« v japonščini, ideogram, japonsko, pojmovni znak, uporaba
🈴	ideogram, japonsko, pojmovni znak, pojmovni znak za skupaj v kvadratu, zadostna ocena, zadostni uspeh
🈳	gumb za »prosto« v japonščini, ideogram, japonsko, pojmovni znak, prazno, prosto
㊗️	ideogram, japonsko, pojmovni znak za čestitanje v krogu, čestitka, čestitke
㊙️	ideogram, japonsko, pojmovni znak za skrivnost v krogu, skrivnost
🈺	gumb za »odprto« v japonščini, ideogram, japonsko, odprto za poslovanje, pojmovni znak
🈵	gumb za »ni prosto« v japonščini, ideogram, japonsko, ni prosto, pojmovni znak, zasedeno
🔴	geometrično, krog, rdeč krog, rdeče
🟠	krog, oranžen, oranžen krog
🟡	krog, rumen, rumen krog
🟢	krog, zelen, zelen krog
🔵	geometrično, krog, moder krog, modro
🟣	krog, škrlaten, škrlaten krog
🟤	krog, rjav, rjav krog
⚫️	geometrično, krog, črn krog
⚪️	bel krog, geometrično, krog
🟥	kvadrat, rdeč, rdeč kvadrat
🟧	kvadrat, oranžen, oranžen kvadrat
🟨	kvadrat, rumen, rumen kvadrat
🟩	kvadrat, zelen, zelen kvadrat
🟦	kvadrat, moder, moder kvadrat
🟪	kvadrat, škrlaten, škrlaten kvadrat
🟫	kvadrat, rjav, rjav kvadrat
⬛️	geometrično, kvadrat, velik črn kvadrat
⬜️	geometrično, kvadrat, velik bel kvadrat
◼️	geometrično, kvadrat, srednji črn kvadrat
◻️	geometrično, kvadrat, srednji bel kvadrat
◾️	geometrično, kvadrat, srednje majhen črn kvadrat
◽️	geometrično, kvadrat, srednje mali beli kvadrat
▪️	geometrično, kvadrat, majhen črn kvadrat
▫️	geometrično, kvadrat, majhen bel kvadrat
🔶	geometrično, karo, oranžno, velik oranžen karo
🔷	geometrično, karo, modro, velik moder karo
🔸	geometrično, karo, majhen oranžen karo, oranžno
🔹	geometrično, karo, majhen moder karo, modro
🔺	geometrično, rdeč trikotnik gor, rdeče
🔻	geometrično, navzdol, rdeč trikotnik dol, rdeče
💠	geometrično, karo, karo s piko, strip, znotraj
🔘	geometrično, gumb, izbirni, izbirni gumb
🔳	geometrično, gumb, gumb z belim kvadratom, kvadrat, obrobljeno
🔲	geometrično, gumb, gumb s črnim kvadratom, kvadrat
🏁	dirkanje, kockasta zastava, kockasto, zastava
🚩	trikotna zastava, zastavica
🎌	japonsko, križ, prekrižani zastavi, prekrižano, slavje
🏴	plapolanje, črna zastava
🏳️	plapolajoča bela zastava, plapolanje
🏳‍🌈	mavrica, mavrična zastava, zastava
🏴‍☠	gusarska zastava, pirat, piratska zastava, plenjenje, zaklad
🇦🇨	zastava, zastava: Otok Ascension
🇦🇩	zastava, zastava: Andora
🇦🇪	zastava, zastava: Združeni arabski emirati
🇦🇫	zastava, zastava: Afganistan
🇦🇬	zastava, zastava: Antigva in Barbuda
🇦🇮	zastava, zastava: Angvila
🇦🇱	zastava, zastava: Albanija
🇦🇲	zastava, zastava: Armenija
🇦🇴	zastava, zastava: Angola
🇦🇶	zastava, zastava: Antarktika
🇦🇷	zastava, zastava: Argentina
🇦🇸	zastava, zastava: Ameriška Samoa
🇦🇹	zastava, zastava: Avstrija
🇦🇺	zastava, zastava: Avstralija
🇦🇼	zastava, zastava: Aruba
🇦🇽	zastava, zastava: Ålandski otoki
🇦🇿	zastava, zastava: Azerbajdžan
🇧🇦	zastava, zastava: Bosna in Hercegovina
🇧🇧	zastava, zastava: Barbados
🇧🇩	zastava, zastava: Bangladeš
🇧🇪	zastava, zastava: Belgija
🇧🇫	zastava, zastava: Burkina Faso
🇧🇬	zastava, zastava: Bolgarija
🇧🇭	zastava, zastava: Bahrajn
🇧🇮	zastava, zastava: Burundi
🇧🇯	zastava, zastava: Benin
🇧🇱	zastava, zastava: Saint Barthélemy
🇧🇲	zastava, zastava: Bermudi
🇧🇳	zastava, zastava: Brunej
🇧🇴	zastava, zastava: Bolivija
🇧🇶	zastava, zastava: Nizozemski Karibi
🇧🇷	zastava, zastava: Brazilija
🇧🇸	zastava, zastava: Bahami
🇧🇹	zastava, zastava: Butan
🇧🇻	zastava, zastava: Bouvetov otok
🇧🇼	zastava, zastava: Bocvana
🇧🇾	zastava, zastava: Belorusija
🇧🇿	zastava, zastava: Belize
🇨🇦	zastava, zastava: Kanada
🇨🇨	zastava, zastava: Kokosovi otoki
🇨🇩	zastava, zastava: Demokratična republika Kongo
🇨🇫	zastava, zastava: Centralnoafriška republika
🇨🇬	zastava, zastava: Kongo - Brazzaville
🇨🇭	zastava, zastava: Švica
🇨🇮	zastava, zastava: Slonokoščena obala
🇨🇰	zastava, zastava: Cookovi otoki
🇨🇱	zastava, zastava: Čile
🇨🇲	zastava, zastava: Kamerun
🇨🇳	zastava, zastava: Kitajska
🇨🇴	zastava, zastava: Kolumbija
🇨🇵	zastava, zastava: Otok Clipperton
🇨🇷	zastava, zastava: Kostarika
🇨🇺	zastava, zastava: Kuba
🇨🇻	zastava, zastava: Zelenortski otoki
🇨🇼	zastava, zastava: Curaçao
🇨🇽	zastava, zastava: Božični otok
🇨🇾	zastava, zastava: Ciper
🇨🇿	zastava, zastava: Češka
🇩🇪	zastava, zastava: Nemčija
🇩🇬	zastava, zastava: Diego Garcia
🇩🇯	zastava, zastava: Džibuti
🇩🇰	zastava, zastava: Danska
🇩🇲	zastava, zastava: Dominika
🇩🇴	zastava, zastava: Dominikanska republika
🇩🇿	zastava, zastava: Alžirija
🇪🇦	zastava, zastava: Ceuta in Melilla
🇪🇨	zastava, zastava: Ekvador
🇪🇪	zastava, zastava: Estonija
🇪🇬	zastava, zastava: Egipt
🇪🇭	zastava, zastava: Zahodna Sahara
🇪🇷	zastava, zastava: Eritreja
🇪🇸	zastava, zastava: Španija
🇪🇹	zastava, zastava: Etiopija
🇪🇺	zastava, zastava: Evropska unija
🇫🇮	zastava, zastava: Finska
🇫🇯	zastava, zastava: Fidži
🇫🇰	zastava, zastava: Falklandski otoki
🇫🇲	zastava, zastava: Mikronezija
🇫🇴	zastava, zastava: Ferski otoki
🇫🇷	zastava, zastava: Francija
🇬🇦	zastava, zastava: Gabon
🇬🇧	zastava, zastava: Združeno kraljestvo
🇬🇩	zastava, zastava: Grenada
🇬🇪	zastava, zastava: Gruzija
🇬🇫	zastava, zastava: Francoska Gvajana
🇬🇬	zastava, zastava: Guernsey
🇬🇭	zastava, zastava: Gana
🇬🇮	zastava, zastava: Gibraltar
🇬🇱	zastava, zastava: Grenlandija
🇬🇲	zastava, zastava: Gambija
🇬🇳	zastava, zastava: Gvineja
🇬🇵	zastava, zastava: Guadeloupe
🇬🇶	zastava, zastava: Ekvatorialna Gvineja
🇬🇷	zastava, zastava: Grčija
🇬🇸	zastava, zastava: Južna Georgia in Južni Sandwichevi otoki
🇬🇹	zastava, zastava: Gvatemala
🇬🇺	zastava, zastava: Guam
🇬🇼	zastava, zastava: Gvineja Bissau
🇬🇾	zastava, zastava: Gvajana
🇭🇰	zastava, zastava: Posebno administrativno območje LR Kitajske Hongkong
🇭🇲	zastava, zastava: Heardov otok in McDonaldovi otoki
🇭🇳	zastava, zastava: Honduras
🇭🇷	zastava, zastava: Hrvaška
🇭🇹	zastava, zastava: Haiti
🇭🇺	zastava, zastava: Madžarska
🇮🇨	zastava, zastava: Kanarski otoki
🇮🇩	zastava, zastava: Indonezija
🇮🇪	zastava, zastava: Irska
🇮🇱	zastava, zastava: Izrael
🇮🇲	zastava, zastava: Otok Man
🇮🇳	zastava, zastava: Indija
🇮🇴	zastava, zastava: Britansko ozemlje v Indijskem oceanu
🇮🇶	zastava, zastava: Irak
🇮🇷	zastava, zastava: Iran
🇮🇸	zastava, zastava: Islandija
🇮🇹	zastava, zastava: Italija
🇯🇪	zastava, zastava: Jersey
🇯🇲	zastava, zastava: Jamajka
🇯🇴	zastava, zastava: Jordanija
🇯🇵	zastava, zastava: Japonska
🇰🇪	zastava, zastava: Kenija
🇰🇬	zastava, zastava: Kirgizistan
🇰🇭	zastava, zastava: Kambodža
🇰🇮	zastava, zastava: Kiribati
🇰🇲	zastava, zastava: Komori
🇰🇳	zastava, zastava: Saint Kitts in Nevis
🇰🇵	zastava, zastava: Severna Koreja
🇰🇷	zastava, zastava: Južna Koreja
🇰🇼	zastava, zastava: Kuvajt
🇰🇾	zastava, zastava: Kajmanski otoki
🇰🇿	zastava, zastava: Kazahstan
🇱🇦	zastava, zastava: Laos
🇱🇧	zastava, zastava: Libanon
🇱🇨	zastava, zastava: Saint Lucia
🇱🇮	zastava, zastava: Lihtenštajn
🇱🇰	zastava, zastava: Šrilanka
🇱🇷	zastava, zastava: Liberija
🇱🇸	zastava, zastava: Lesoto
🇱🇹	zastava, zastava: Litva
🇱🇺	zastava, zastava: Luksemburg
🇱🇻	zastava, zastava: Latvija
🇱🇾	zastava, zastava: Libija
🇲🇦	zastava, zastava: Maroko
