😀	зубы, усмешка, шырока ўсміхаецца
🇧🇻	сцяг, сцяг: Востраў Бувэ
🇧🇼	сцяг, сцяг: Батсвана
🇧🇾	сцяг, сцяг: Беларусь
🇧🇿	сцяг, сцяг: Беліз
🇨🇦	сцяг, сцяг: Канада
🇨🇨	сцяг, сцяг: Какосавыя (Кілінг) астравы
🇨🇩	сцяг, сцяг: Конга (Кіншаса)
🇨🇫	сцяг, сцяг: Цэнтральна-Афрыканская Рэспубліка
🇨🇬	сцяг, сцяг: Конга - Бразавіль
🇨🇭	сцяг, сцяг: Швейцарыя
🇨🇮	сцяг, сцяг: Кот-д’Івуар
🇨🇰	сцяг, сцяг: Астравы Кука
🇨🇱	сцяг, сцяг: Чылі
🇨🇲	сцяг, сцяг: Камерун
🇨🇳	сцяг, сцяг: Кітай
🇨🇴	сцяг, сцяг: Калумбія
🇨🇵	сцяг, сцяг: Востраў Кліпертон
🇨🇷	сцяг, сцяг: Коста-Рыка
🇨🇺	сцяг, сцяг: Куба
🇨🇻	сцяг, сцяг: Каба-Вердэ
🇨🇼	сцяг, сцяг: Кюрасаа
🇨🇽	сцяг, сцяг: Востраў Каляд
🇨🇾	сцяг, сцяг: Кіпр
🇨🇿	сцяг, сцяг: Чэхія
🇩🇪	сцяг, сцяг: Германія
🇩🇬	сцяг, сцяг: Востраў Дыега-Гарсія
🇩🇯	сцяг, сцяг: Джыбуці
🇩🇰	сцяг, сцяг: Данія
🇩🇲	сцяг, сцяг: Дамініка
🇩🇴	сцяг, сцяг: Дамініканская Рэспубліка
🇩🇿	сцяг, сцяг: Алжыр
🇪🇦	сцяг, сцяг: Сеўта і Мелілья
🇪🇨	сцяг, сцяг: Эквадор
🇪🇪	сцяг, сцяг: Эстонія
🇪🇬	сцяг, сцяг: Егіпет
🇪🇭	сцяг, сцяг: Заходняя Сахара
🇪🇷	сцяг, сцяг: Эрытрэя
🇪🇸	сцяг, сцяг: Іспанія
🇪🇹	сцяг, сцяг: Эфіопія
🇪🇺	сцяг, сцяг: Еўрапейскі саюз
🇫🇮	сцяг, сцяг: Фінляндыя
🇫🇯	сцяг, сцяг: Фіджы
🇫🇰	сцяг, сцяг: Фалклендскія астравы
🇫🇲	сцяг, сцяг: Мікранезія
🇫🇴	сцяг, сцяг: Фарэрскія астравы
🇫🇷	сцяг, сцяг: Францыя
🇬🇦	сцяг, сцяг: Габон
🇬🇧	сцяг, сцяг: Вялікабрытанія
🇬🇩	сцяг, сцяг: Грэнада
🇬🇪	сцяг, сцяг: Грузія
🇬🇫	сцяг, сцяг: Французская Гвіяна
🇬🇬	сцяг, сцяг: Гернсі
🇬🇭	сцяг, сцяг: Гана
🇬🇮	сцяг, сцяг: Гібралтар
🇬🇱	сцяг, сцяг: Грэнландыя
🇬🇲	сцяг, сцяг: Гамбія
🇬🇳	сцяг, сцяг: Гвінея
🇬🇵	сцяг, сцяг: Гвадэлупа
🇬🇶	сцяг, сцяг: Экватарыяльная Гвінея
🇬🇷	сцяг, сцяг: Грэцыя
🇬🇸	сцяг, сцяг: Паўднёвая Джорджыя і Паўднёвыя Сандвічавы астравы
🇬🇹	сцяг, сцяг: Гватэмала
🇬🇺	сцяг, сцяг: Гуам
🇬🇼	сцяг, сцяг: Гвінея-Бісау
🇬🇾	сцяг, сцяг: Гаяна
🇭🇰	сцяг, сцяг: Ганконг, САР (Кітай)
🇭🇲	сцяг, сцяг: Астравы Херд і Макдональд
🇭🇳	сцяг, сцяг: Гандурас
🇭🇷	сцяг, сцяг: Харватыя
🇭🇹	сцяг, сцяг: Гаіці
🇭🇺	сцяг, сцяг: Венгрыя
🇮🇨	сцяг, сцяг: Канарскія астравы
🇮🇩	сцяг, сцяг: Інданезія
🇮🇪	сцяг, сцяг: Ірландыя
🇮🇱	сцяг, сцяг: Ізраіль
🇮🇲	сцяг, сцяг: Востраў Мэн
🇮🇳	сцяг, сцяг: Індыя
🇮🇴	сцяг, сцяг: Брытанская тэрыторыя ў Індыйскім акіяне
🇮🇶	сцяг, сцяг: Ірак
🇮🇷	сцяг, сцяг: Іран
🇮🇸	сцяг, сцяг: Ісландыя
🇮🇹	сцяг, сцяг: Італія
🇯🇪	сцяг, сцяг: Джэрсі
🇯🇲	сцяг, сцяг: Ямайка
🇯🇴	сцяг, сцяг: Іарданія
