😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
🚨	ಪೊಲೀಸರ ಲೈಟ್, ಪೊಲೀಸ್ ಕಾರ್‌ನ ಬೆಳಕು, ಸುತ್ತುತ್ತಿರುವ ಬೆಳಕು
🚥	ಅಡ್ಡಲಾಗಿರುವ ಸಂಚಾರಿ ಬೆಳಕು, ಸಂಚಾರ ದೀಪಗಳು, ಸಮತಲ ಸಂಚಾರಿ ಬೆಳಕು
🚦	ಲಂಬ ಸಂಚಾರಿ ಬೆಳಕು, ಲಂಬವಾಗಿರುವ ಸಂಚಾರಿ ಬೆಳಕು, ಸಂಚಾರ ದೀಪಗಳು
🛑	ಅಷ್ಟಭುಜ, ನಿಲ್ಲು, ನಿಲ್ಲುವ ಸಂಜ್ಞೆ, ಸಂಜ್ಞೆ
🚧	ತಡೆಗೋಡೆ, ನಿರ್ಮಾಣ
⚓️	ಲಂಗರು, ಸಂಕೇತ
⛵️	ದೋಣಿ, ಹಾಯಿದೋಣಿ
🛶	ದೋಣಿ, ಬೋಟ್
🚤	ವೇಗದ ದೋಣಿ, ವೇಗದ ಮೋಟಾರು ದೋಣಿ
🛳️	ಪ್ರಯಾಣಿಕರ ಹಡಗು, ಪ್ರಯಾಣಿಕರು
⛴️	ದೋಣಿ, ಫೆರ್ರೀ
🛥️	ದೋಣಿ, ಮೋಟರ್ ದೋಣಿ, ಮೋಟಾರು ದೋಣಿ
🚢	ವಾಹನ, ಹಡಗು
✈️	ಏರೋಪ್ಲೇನ್‌, ವಿಮಾನ
🛩️	ಚಿಕ್ಕ ವಿಮಾನ, ವಾಹನ, ವಿಮಾನ
🛫	ಚೆಕ್ ಇನ್, ನಿರ್ಗಮನ, ನಿರ್ಗಮನಗಳು, ವಾಹನ, ವಿಮಾನ, ವಿಮಾನ ನಿರ್ಗಮನ
🛬	ಆಗಮನ, ಆಗಮಿಸುತ್ತಿದೆ, ನಿಲ್ಲುವಿಕೆ, ವಾಹನ, ವಿಮಾನ, ವಿಮಾನ ಆಗಮನ
🪂	ಪ್ಯಾರಾಚೂಟ್, ಪ್ಯಾರಾಸೈಲ್, ಸ್ಕೈಡೈವ್, ಹ್ಯಾಂಗ್-ಗ್ಲೈಡ್
💺	ಆಸನ, ಕುರ್ಚಿ
🚁	ವಾಹನ, ಹೆಲಿಕಾಫ್ಟರ್
🚟	ಅಮಾನತು ರೈಲು, ರೈಲ್ವೆ, ವಾಹನ, ಸಸ್ಪೆನ್ಶನ್ ರೈಲ್ವೆ
🚠	ಕೇಬಲ್, ಪರ್ವತ, ಪರ್ವತ ಕೇಬಲ್ ಕಾರ್, ಪರ್ವತದ ಕೇಬಲ್‌ವೇ, ವಾಹನ
🚡	ಏರಿಯಲ್ ಟ್ರ್ಯಾಮ್ ವೇ, ಕೇಬಲ್ ಕಾರ್, ಟ್ರಾಮ್ವೇ, ಮೇಲ್ಭಾಗದ ಟ್ರಾಮ್‌ವೇ
🛰️	ಉಪಗ್ರಹ, ಗಗನ, ವಾಹನ
🚀	ಗಗನ, ರಾಕೆಟ್, ವಾಹನ
🛸	ಯುಎಫ್ಒ, ಹಾರುವ ತಟ್ಟೆ
🛎️	ಬೆಲ್‌ಹಾಪ್ ಬೆಲ್, ಹೊಟೇಲ್
🧳	ಪ್ಯಾಕಿಂಗ್, ಪ್ರಯಾಣ, ಲಗೇಜ್
⌛️	ಗಡಿಯಾರ, ಟೈಮರ್, ಮರಳು, ಮರಳು ಗಡಿಯಾರ
⏳️	ಟೈಮರ್, ಬೀಳುತ್ತಿರುವ ಮರಳಿನೊಂದಿಗೆ ಮರಳು ಗಡಿಯಾರ, ಮರಳಿನ ಮರಳು, ಮರಳು, ಮರಳು ಗಡಿಯಾರ
⌚️	ಗಡಿಯಾರ, ವಾಚ್
⏰	ಅಲಾರಂ, ಅಲಾರಂ ಗಡಿಯಾರ, ಗಡಿಯಾರ
⏱️	ಗಡಿಯಾರ, ಸ್ಟಾಪ್ ವಾಚ್
⏲️	ಗಡಿಯಾರ, ಟೈಮರ್, ಟೈಮರ್ ಗಡಿಯಾರ
🕰️	ಗಡಿಯಾರ, ಮ್ಯಾಂಟಲ್‌ಪೀಸ್ ಗಡಿಯಾರ
🕛️	12 ಗಂಟೆ, ಗಡಿಯಾರ, ಹನ್ನೆರಡು ಗಂಟೆ
🕧	12:30, ಗಡಿಯಾರ, ಹನ್ನೆರಡು ಮೂವತ್ತು
🕐️	1 ಗಂಟೆ, 1:00, ಒಂದು, ಒಂದು ಗಂಟೆ, ಗಡಿಯಾರ
🕜	1:30, ಒಂದು ಮೂವತ್ತು, ಗಡಿಯಾರ
🕑️	2 ಗಂಟೆ, 2:00, ಎರಡು, ಎರಡು ಗಂಟೆ, ಗಡಿಯಾರ
🕝	2:30, ಎರಡು ಮೂವತ್ತು, ಗಡಿಯಾರ
🕒️	3:00, ಗಡಿಯಾರ, ಮೂರು, ಮೂರು ಗಂಟೆ
🕞	ಗಡಿಯಾರ, ಮೂರು ಮೂವತ್ತು
🕓️	4:00, ಗಡಿಯಾರ, ನಾಲ್ಕು, ನಾಲ್ಕು ಗಂಟೆ
🕟	4:30, ಗಡಿಯಾರ, ನಾಲ್ಕು ಮೂವತ್ತು
🕔️	ಐದು, ಐದು ಗಂಟೆ, ಗಡಿಯಾರ
🕠	5:30, ಐದು, ಐದು ಮೂವತ್ತು
🕕️	6 ಗಂಟೆ, ಆರು ಗಂಟೆ, ಗಂಟೆ, ಗಡಿಯಾರ
🕡	6:30, ಆರು, ಆರು ಮೂವತ್ತು, ಆರು-ಮೂವತ್ತು, ಗಡಿಯಾರ, ಮೂವತ್ತು
🕖️	7:30, ಏಳು, ಏಳು ಗಂಟೆ, ಗಡಿಯಾರ
🕢	7 ಮೂವತ್ತು, ಏಳು ಮೂವತ್ತು, ಗಡಿಯಾರ
🕗️	8 ಗಂಟೆ, ಎಂಟು, ಎಂಟು ಗಂಟೆ, ಗಡಿಯಾರ
🕣	8:30, ಎಂಟು ಮೂವತ್ತು, ಗಡಿಯಾರ, ಮೂವತ್ತು
🕘️	9:00, ಒಂಬತ್ತು, ಒಂಬತ್ತು ಗಂಟೆ, ಗಡಿಯಾರ
🕤	9:30, ಒಂಬತ್ತು ಮೂವತ್ತು, ಒಂಬತ್ತು-ಮೂವತ್ತು, ಗಡಿಯಾರ
🕙️	10 ಗಂಟೆ, 10:00, ಗಡಿಯಾರ, ಹತ್ತು, ಹತ್ತು ಗಂಟೆ
🕥	10:30, ಗಡಿಯಾರ, ಹತ್ತು ಮೂವತ್ತು, ಹತ್ತು-ಮೂವತ್ತು
🕚️	11 ಗಂಟೆ, 11:00, ಹನ್ನೊಂದು, ಹನ್ನೊಂದು ಗಂಟೆ
🕦	11:30, ಗಡಿಯಾರ, ಹನ್ನೊಂದು -ಮೂವತ್ತು, ಹನ್ನೊಂದು ಮೂವತ್ತು
🌑	ಅಮಾವಾಸ್ಯೆ, ಗಾಢ, ಚಂದ್ರ, ಹೊಸದು
🌒	ಅರ್ಧ ಚಂದ್ರ, ಕ್ರೆಸೆಂಟ್, ಚಂದ್ರ, ಮೇಣ, ಮೇಣದ ಚಂದ್ರ
🌓	ಕಾಲುಭಾಗ, ಕಾಲುಭಾಗದಷ್ಟು ಚಂದ್ರ, ಮೊದಲ ಕಾಲುಭಾಗದಷ್ಟು ಚಂದ್ರ. ಚಂದ್ರ
🌔	ಚಂದ್ರ, ಪೀನ, ಪೀನ ಚಂದ್ರ, ಮೇಣ
🌕️	ಚಂದ್ರ, ಪೂರ್ಣ, ಪೂರ್ಣ ಚಂದ್ರ, ಪ್ರಕಾಶಮಾನ
🌖	ಕ್ಷೀಣಿಸುತ್ತಿರುವ ಚಂದ್ರ, ಕ್ಷೀಣಿಸುವ, ಚಂದ್, ಪೀನ, ಪೀನ ಚಂದ್ರ
🌗	ಕಳೆದ ಕಾಲುಭಾಗದಷ್ಟಿರುವ ಚಂದ್ರ, ಕಾಲುಭಾಗ, ಕೊನೆಯ ಕಾಲುಭಾಗದಷ್ಟು ಚಂದ್ರ, ಚಂದ್
🌘	ಅರ್ಧ, ಕ್ಷೀಣಿಸುತ್ತಿರುವ ಅರ್ಧ ಚಂದ್ರ, ಕ್ಷೀಣಿಸುತ್ತಿರುವ ಚಂದ್ರ, ಕ್ಷೀಣಿಸುವ, ಚಂದ್ರ
🌙	ಅರ್ಧ ಚಂದ್ರ, ಅರ್ಧಾಕಾರದ ಚಂದ್ರ, ಚಂದ್ರ
🌚	ಅಮಾವಾಸ್ಯೆ, ಅಮಾವಾಸ್ಯೆ ಮುಖ, ಅಮಾವಾಸ್ಯೆಯ ಮುಖದೊಂದಿಗೆ, ಚಂದ್ರ
🌛	ಚಂದ್ರ, ಮುಖ, ಮುಖದೊಂದಿಗಿನ ಚಂದ್ರ, ಮುಖದೊಂದಿಗೆ ಕಾಲುಭಾಗದ ಚಂದ್ರ, ಮೊದಲ ಕಾಲುಭಾಗದಷ್ಟು ಚಂದ್ರನ ಮುಖ
🌜️	ಕಾಲುಭಾಗದ ಚಂದ್, ಕೊನೆಯ ಕಾಲುಭಾಗದ ಚಂದ್ರ, ಕೊನೆಯ ಕಾಲುಭಾಗದಷ್ಟು ಚಂದ್ರನ ಮುಖ, ಮುಖದೊಂದಿಗಿನ ಚಂದ್ರ, ಮುಖದೊಂದಿಗೆ ಕಾಲುಭಾಗದ ಚಂದ್ರ
🌡️	ಥರ್ಮಾಮೀಟರ್, ಹವಾಮಾನ
☀️	ಮುಖ, ಸನ್ನಿ, ಸೂರ್ಯ, ಹವಾಮಾನ, ಹೊಳಪು
🌝	ಚಂದ್ರ, ಪೂರ್ಣ, ಪೂರ್ಣ ಚಂದ್ರನ ಮುಖ, ಮುಖ
🌞	ಮುಖ, ಸೂರ್ಯ, ಸೂರ್ಯನ ಮುಖ
🪐	ವರ್ತುಲವಿರುವ ಗ್ರಹ, ಶನಿಗ್ರಹ, ಸ್ಯಾಟ್ರನೈನ್
⭐️	ನಕ್ಷತ್ರ, ಬಿಳಿ ಮಧ್ಯಮ ನಕ್ಷತ್ರ
🌟	ನಕ್ಷತ್ರ, ಪ್ರಕಾಶ, ಮಿಂಚಿನ, ಮಿಣುಗುವ ನಕ್ಷತ್ರ
🌠	ನಕ್ಷತ್ರ, ಬೀಳುತ್ತಿರುವ ನಕ್ಷತ್ರ, ಬೀಳುವ, ಶೂಟಿಂಗ್
🌌	ಆಕಾಶ, ಕ್ಷೀರ ಪಥ, ಕ್ಷೀರಪಥ, ಮಿಲ್ಕಿ ವೇ, ಹಾಲುಹಾದಿ
☁️	ಮೇಘ, ಮೋಡ, ವಾತಾವರಣ, ಹವಾಮಾನ
⛅️	ಮೇಘದಿಂದ ಮರೆಯಾಗಿರುವ ಸೂರ್ಯ, ಮೋಡ, ಮೋಡಗಳೊಂದಿಗೆ ಸೂರ್ಯ, ಸೂರ್ಯ
⛈️	ಗುಡುಗು, ಮಳೆ, ಮಿಂಚು ಮತ್ತು ಮಳೆಯೊಂದಿಗೆ ಮೇಘ, ಮೇಘ
🌤️	ಚಿಕ್ಕ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ, ಮೇಘ, ಮೋಡ, ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ
🌥️	ದೊಡ್ಡ ಮೋಡದ ಹಿಂದೆ ಸೂರ್ಯ, ಮೇಘ, ಮೋಡ, ಸೂರ್ಯ, ಹವಾಮಾನ
🌦️	ಬಿಸಿಲು ಮಳೆ, ಮಳೆ, ಮೇಘ, ಮೋಡ, ಹವಾಮಾನ
🌧️	ಮಳೆ, ಮೇಘ, ಮೋಡ, ಮೋಡದ ಜೊತೆ ಮಳೆ, ಹವಾಮಾನ
🌨️	ಮಂಜಿನಿಂದ ಕೂಡಿದ ಮೋಡ, ಮಂಜಿನಿಂದ ಕೂಡಿದ ಹಿಮ, ಮಂಜು, ಹವಾಮಾನ, ಹಿಮ
🌩️	ಮಿಂಚಿನೊಂದಿಗೆ ಮೋಡ, ಮಿಂಚು, ಮೋಡ, ಸುಂಟರಗಾಳಿ, ಹವಾಮಾನ
🌪️	ಮೋಡ, ಸುಂಚರಗಾಳಿ, ಸುಂಟರಗಾಳಿ, ಹವಾಮಾನ
🌫️	ಮಂಜು, ಹವಾಮಾನ, ಹಿಮ
🌬️	ಗಾಳಿ, ಗಾಳಿಯ ಮುಖ, ಗಾಳಿಯಿಂದ ಕೂಡಿದ ಹವಾಮಾನ, ಮುಖ
🌀	ಚಂಡಮಾರುತ, ಟೈಫೂನ್, ಟ್ವಿಸ್ಟರ್, ಹರಿಕೇನ್
🌈	ಕಾಮನಬಿಲ್ಲು, ಮಳೆ, ಹವಾಮಾನ
🌂	ಉಡುಪು, ಛತ್ರಿ, ಮಳೆ, ಮುಚ್ಚಿದ ಛತ್ರಿ
☂️	ಛತ್ರಿ, ಬಟ್ಟೆ, ಮಳೆ, ಹವಾಮಾನ
☔️	ಛತ್ರಿ, ಮಳೆ ಹನಿಗಳೊಂದಿಗೆ ಛತ್ರಿ, ಮಳೆಯಿಂದ ಕೂಡಿದ ಹವಾಮಾನ, ಹನಿ
⛱️	ನೆಲದ ಮೇಲಿನ ಛತ್ರಿ, ಮಳೆ, ಸೂರ್ಯ ಮೋಡ ಮುಸುಕಿದ ಹವಾಮಾನ
⚡️	ಅಧಿಕ ವೋಲ್ಟೇಜ್, ಅಪಾಯ, ಸಂಕೇತ, ಹೆಚ್ಚಿನ ವೋಲ್ಟೇಜ್, ಹೆಚ್ಚಿನ ವೋಲ್ಟೇಜ್ ಅಪಾಯ
❄️	ಮಂಜು, ಸ್ನೋಪ್ಲೇಕ್, ಹವಾಮಾನ, ಹಿಮ
☃️	ಶೀತ, ಸ್ನೋಮ್ಯಾನ್, ಹಿಮ, ಹಿಮಮಾನವ
⛄️	ಶೀತ, ಹಿಮ, ಹಿಮಮಾನವ, ಹಿಮವಿಲ್ಲದ ಸ್ನೋಮ್ಯಾನ್, ಹಿಮವಿಲ್ಲದೆ ಹಿಮಮಾನವ
☄️	ಆಕಾಶ, ಕಾಮೆಟ್, ಗಗನ, ಸ್ಪೇಸ್
🔥	ಜ್ವಾಲೆ, ಬೆಂಕಿ
💧	ಕಾಮಿಕ್, ಬೆವರು, ಬೆವರುವ, ಸಣ್ಣ ಹನಿ
🌊	ನೀರಿನ ಅಲೆ, ಸಾಗರದ ಅಲೆ
🎃	ಆಚರಣೆ, ಕೊಳ್ಳಿದೆವ್ವ, ಜ್ಯಾಕ್, ಲಾಟೀನು, ಹ್ಯಾಲೋವೀನ್
🎄	ಆಚರಣೆ, ಕ್ರಿಸ್ಮಸ್, ಕ್ರಿಸ್ಮಸ್ ಮರ, ಮರ
🎆	ಆಚರಣೆ, ಫೈರ್‌ವರ್ಕ್, ಫೈರ್‌ವರ್ಕ್ಸ್
🎇	ಆಚರಣೆ, ಪಟಾಕಿ, ಸ್ಪಾರ್ಕ್ಲರ್
🧨	ಡೈನಮೈಟ್, ಪಟಾಕಿ, ಪಟಾಕಿಗಳು, ಸ್ಫೋಟಕ
✨	ನಕ್ಷತ್ರಗಳು, ಹೊಳೆಯತ್ತಿರುವ, ಹೊಳೆಯುವ
🎈	ಆಚರಣೆ, ಬಲೂನ್, ಸಂಭ್ರಮ
🎉	ಆಚರಣೆ, ಪಾಪರ್, ಪಾರ್ಟಿ, ಪಾರ್ಟಿ ಪೇಪರ್
🎊	ಆಚರಣೆ, ಕಾನ್ಫೆಟ್ಟಿ ಬಾಲ್, ಬಾಲ್
🎋	ಆಚರಣೆ, ಕಾಗದ ಪಟ್ಟಿಗಳು, ತಾನಾಬಾಟ ಮರ, ಮರ, ಸ್ಟಾರ್ ಫೆಸ್ಟಿವಲ್
🎍	ಆಚರಣೆ, ಜಪಾನೀಸ್, ಪೈನ್, ಪೈನ್ ಅಲಂಕಾರ, ಹೊಸ ವರ್ಷದ
🎎	ಆಚರಣೆ, ಗೊಂಬೆಗಳ ಉತ್ಸವ, ಜಪಾನೀಸ್, ಜಪಾನೀಸ್ ಗೊಂಬೆಗಳು, ಹಬ್ಬ
🎏	ಆಚರಣೆ, ಕಾರ್ಪ್ ಪತಾಕೆ, ಪತಾಕೆ
🎐	ಘಂಟಾಮೇಳ, ವಿಂಡ್ ಸಾಲುಗಂಟೆ
🎑	ಆಚರಣೆ, ಚಂದ್ರ, ಚಂದ್ರನ ನೋಡುವ ಸಮಾರಂಭ, ಚಂದ್ರನ ವೀಕ್ಷಣೆ, ವೀಕ್ಷಿಸುವ
🧧	ಉಡುಗೊರೆ, ಕೆಂಪು ಎನ್ವಲಪ್, ಲಾಯ್ಸೀ, ಶುಭವಾಗಲಿ, ಹಣ, ಹಾಂಗ್ಬೋ
🎀	ಆಚರಣೆ, ರಿಬ್ಬನ್
🎁	ಆಚರಣೆ, ಕಾಣಿಕೆ, ಸುತ್ತಲ್ಪಟ್ಟ, ಸುತ್ತಲ್ಪಟ್ಟ ಕಾಣಿಕೆ
🎗️	ಜ್ಞಾಪನೆಯ ರಿಬ್ಬನ್, ಪದಕ, ಮೆಡಲ್, ರಿಬ್ಬನ್
🎟️	ಪ್ರವೇಶ, ಪ್ರವೇಶ ಟಿಕೆಟ್‌ಗಳು, ಪ್ರವೇಶ ಟಿಕೇಟು‌ಗಳು
🎫	ಟಿಕೆಟ್, ಮನರಂಜನೆ
🎖️	ಆಚರಣೆ, ಪದಕ, ಮಿಲಿಟರಿ, ಮಿಲಿಟರಿ ಮೆಡಲ್, ಸುತ್ತಲ್ಪಟ್ಟ
🏆️	ಟ್ರೋಫಿ, ಬಹುಮಾನ
🏅	ಕ್ರೀಡಾ ಪದಕ, ಪದಕ, ಪುರಸ್ಕಾರ, ಮೆಡಲ್
🥇	ಚಿನ್ನ, ಪದಕ, ಪ್ರಥಮ, ಪ್ರಥಮ ಸ್ಥಾನದ ಪದಕ
🥈	ದ್ವಿತೀಯ, ದ್ವಿತೀಯ ಸ್ಥಾನದ ಪದಕ, ಪದಕ, ಬೆಳ್ಳಿ
🥉	ಕಂಚು, ತೃತೀಯ, ತೃತೀಯ ಸ್ಥಾನದ ಪದಕ, ಪದಕ
⚽️	ಚೆಂಡು, ಸಾಕರ್, ಸಾಕರ್ ಚೆಂಡು
⚾️	ಚೆಂಡು, ಬಾಲ್, ಬೇಸ್‌ಬಾಲ್
🥎	ಕಂಕುಳು, ಗ್ಲೋವ್, ಚೆಂಡು, ಮೆತ್ತನೆಯ ಚೆಂಡು
🏀	ಕ್ರೀಡೆ, ಬಾಲ್, ಬ್ಯಾಸ್ಕೆಟ್‌ಬಾಲ್, ಹೂಪ್
🏐	ಆಟ, ಬಾಲು, ವಾಲಿಬಾಲ್
🏈	ಅಮೆರಿಕನ್ ಫುಟ್‌ಬಾಲ್, ಅಮೇರಿಕನ್, ಕ್ರೀಡೆ, ಬಾಲ್
🏉	ಕ್ರೀಡೆ, ಬಾಲ್, ರಗ್ಬಿ ಫುಟ್‌ಬಾಲ್, ಸಾಕರ್
🎾	ಕ್ರೀಡೆ, ಟೆನಿಸ್ ರಾಕೆಟ್ ಮತ್ತು ಬಾಲ್ ಮತ್ತು ಬಾಲ್, ಟೆನ್ನಿಸ್, ಟೆನ್ನಿಸ್ ಬಾಲ್
🥏	ಅಲ್ಟಿಮೇಟ್, ಹಾರುವ ಡಿಸ್ಕ್
🎳	ಆಟ, ಚೆಂಡು, ಬೌಲಿಂಗ್
🏏	ಆಟ, ಕ್ರಿಕೇಟ್, ಚೆಂಡು, ಬಾಲ್, ಬ್ಯಾಟು
🏑	ಆಟ, ಕಟ್ಟಿಗೆ, ಚೆಂಡು, ಫೀಲ್ಡ್, ಫೀಲ್ಡ್ ಹಾಕಿ, ಹಾಕಿ
🏒	ಆಟ, ಐಸ್, ಐಸ್ ಹಾಕಿ ಸ್ಟಿಕ್ ಮತ್ತು ಪಕ್, ಕಟ್ಟಿಗೆ, ಹಾಕಿ
🥍	ಗೋಲ್, ಚೆಂಡು, ಲ್ಯಾಕ್ರೋಸ್, ಸ್ಟಿಕ್
🏓	ಐಸ್, ಚೆಂಡು, ಟೆನ್ನೀಸ್, ಪಿಂಗ್ ಪಾಂಗ್, ಹಾಕಿ
🏸	ಗೇಮ್, ಬ್ಯಾಡ್ಮಿಂಟನ್, ರಾಕೆಟ್, ಶಟಲ್‌ಕಾಕ್
🥊	ಕ್ರೀಡೆ, ಗ್ಲೌವ್, ಬಾಕ್ಸಿಂಗ್, ಬಾಕ್ಸಿಂಗ್ ಗ್ಲೌವ್
🥋	ಕರಾಟೆ, ಕ್ರೀಡೆ, ಜೂಡೋ, ಟೆಕ್ವಾಂಡೋ, ಮಾರ್ಷಲ್ ಆರ್ಟ್ಸ್ ಸಮವಸ್ತ್ರ
🥅	ಕ್ರೀಡೆ, ಗೋಲಿನ ನೆಟ್, ಗೋಲು, ನೆಟ್
⛳️	ಗಾಲ್ಫ್, ಗಾಲ್ಫ್ ಫ್ಲ್ಯಾಗ್, ರಂಧ್, ರಂಧ್ರದಲ್ಲಿ ಫ್ಲ್ಯಾಗ್
⛸️	ಐಸ್, ಐಸ್ ಸ್ಕೇಟ್, ಸ್ಕೇಟ್
🎣	ಕೋಲು, ಮನರಂಜನೆ, ಮೀನು, ಮೀನುಗಾರಿಕೆ ಕೋಲು
🤿	ಡೈವಿಂಗ್, ಡೈವಿಂಗ್ ಮಾಸ್ಕ್, ಸ್ಕೂಬಾ, ಸ್ನೋರ್‌ಕೆಲಿಂಗ್
🎽	ಕ್ರೀಡೆ, ರನ್ನಿಂಗ್, ರನ್ನಿಂಗ್ ಶರ್ಟ್, ಶರ್ಟ್, ಸ್ಯಾಶ್, ಸ್ಯಾಶ್ ಹೊಂದಿರುವ ರನ್ನಿಂಗ್ ಶರ್ಟ್
🎿	ಕ್ರೀಡೆ, ಬೂಟ್, ಸ್ಕೈ ಮತ್ತು ಬೂಟ್, ಸ್ಕೈಸ್
🛷	ಸ್ಲೆಗ್, ಸ್ಲೆಡ್, ಸ್ಲೆಡ್ಜ್
🥌	ಆಟ, ಕರ್ಲಿಂಗ್ ಸ್ಟೋನ್, ರಾಕ್
🎯	ಆಟ, ಟಾರ್ಗೆಟ್, ನೇರ ಹೊಡೆತ, ಸರಿಯಾದ ಗುರಿ, ಹೊಡೆ
🪀	ಆಟಿಕೆ, ಏರಿಳಿತ, ಯೋ-ಯೋ
🪁	ಎತ್ತರವಾಗಿ ಹಾರು, ಗಾಳಿಪಟ, ಹಾರು
🎱	ಆಟ, ಎಂಟು ಚೆಂಡು, ಬಿಲಿಯರ್ಡ್, ಬಿಲಿಯರ್ಡ್ಸ್
🔮	ಅದೃಷ್, ಚೆಂಡು, ಸ್ಫಟಿಕ, ಸ್ಫಟಿಕ ಚೆಂಡು, ಸ್ಫಟಿಕ ಚೆಂಡು ಸ್ಪಟಿಕ ಹೇಳುವ
🧿	ಕೆಟ್ಟ ದೃಷ್ಟಿ, ತಲಿಸ್ಮನ್, ನಜರ್, ನಜರ್ ಅಮುಲೆಟ್, ಮಣಿ, ಮೋಡಿ
🎮️	ಆಟ ನಿಯಂತ್ರಕ, ಆಟದ, ನಿಯಂತ್ರಕ, ವೀಡಿಯೋ ಗೇಮ್
🕹️	ಆಟ, ಗೇಮ್, ಜಾಯ್‌ಸ್ಟಿಕ್, ವೀಡಿಯೊ
🎰	ಸ್ಲಾಟ್, ಸ್ಲಾಟ್ ಯಂತ್ರ
🎲	ಆಟ, ಆಟದ ಡೈ, ಡೈ, ಡೈಸ್
🧩	ಒಗಟು, ಜಿಗ್‌ಸಾ, ತುಂಡು, ಪರಸ್ಪರ ಬಂಧಿಸುವುದು, ಸುಳಿವು
🧸	ಆಟದ ವಸ್ತು, ಆಟಿಕೆ, ಟೆಡ್ಡಿ ಬೇರ್, ಬೆಲೆಬಾಳುವ, ಸೇರ್ಪಡೆ
♠️	ಕಾರ್ಡು, ಗೇಮ್, ಸೂಟ್, ಸ್ಪೇಡ್, ಸ್ಪೇಡ್ ಸೂಟ್
♥️	ಆಟ, ಸೂಟ್, ಹಾರ್ಟ್, ಹಾರ್ಟ್ ಸೂಟ್, ಹೃದಯ
♦️	ಆಟ, ಕಾರ್ಡ್, ಡೈಮಂಡ್ ಸೂಟ್, ವಜ್ರ, ಸೂಟ್
♣️	ಕ್ಲಬ್, ಕ್ಲಬ್ ಸೂಟ್, ಕ್ಲಬ್‌ಗಳು, ಗೇಮ್
♟️	ಖರ್ಚು ಮಾಡುವಂತಹ, ಚೆಸ್, ಚೆಸ್ ಪಾನ್, ಡ್ಯೂಪ್
🃏	ಕಾರ್ಡ್, ಜೋಕರ್, ಪ್ಲೇಯಿಂಗ್ ಕಾರ್ಡ್
🀄️	ಆಟ, ಕೆಂಪು, ಮಹ್ಜಾಂಗ್, ಮಹ್ಜಾಂಗ್ ಕೆಂಪು ಡ್ರ್ಯಾಗನ್, ಮಹ್ಜಾಂಗ್ ರೆಡ್ ಡ್ರಾಗನ್
🎴	ಕಾರ್ಡ್, ಗೇಮ್, ಜಪಾನೀ‌ಸ್‌, ಫ್ಲವರ್, ಫ್ಲವರ್ ಪ್ಲೇಯಿಂಗ್ ಕಾರ್ಡ್‌ಗಳು
🎭️	ಕಲೆ ಪ್ರದರ್ಶನ, ಪ್ರದರ್ಶನ ಕಲೆಗಳು, ಮುಖವಾಡ
🖼️	ಕಲೆ, ಚಿತ್ರದೊಂದಿಗೆ ಫ್ರೇಮ್, ಫ್ರೇಮ್, ಮ್ಯೂಸಿಯಂ
🎨	ಕಲಾವಿದನ ವರ್ಣ ಸಾಧನ, ಕಲಾವಿದರ ವರ್ಣಫಲಕ, ವರ್ಣ ಸಾಧನ
🧵	ದಾರ, ಸೂಜಿ, ಸ್ಟ್ರಿಂಗ್, ಸ್ಪೂಲ್, ಹೊಲಿಗೆ
🧶	ಕ್ರೋಶ, ಚೆಂಡು, ನೂಲು, ಹೆಣಿಗೆ
👓️	ಉಡುಪು, ಕಣ್ಣು, ಕನ್ನಡಕಗಳು, ನಯನತೊಡುಗೆಗಳು
🕶️	ಕಣ್ಣು, ಕನ್ನಡಕ, ಕಪ್ಪು, ತಂಪು ಕನ್ನಡಕಗಳು, ನಯನತೊಡುಗೆಗಳು
🥽	ಈಜು, ಕಣ್ಣಿನ ರಕ್ಷಣೆ, ಕನ್ನಡಕ, ವೆಲ್ಡಿಂಗ್
🥼	ಪ್ರಯೋಗ, ಲ್ಯಾಬ್ ಕೋಟ್, ವಿಜ್ಞಾನಿ, ವೈದ್ಯ
🦺	ಕವಚ, ತುರ್ತುಪರಿಸ್ಥಿತಿ, ಸುರಕ್ಷತೆ, ಸುರಕ್ಷತೆ ಕವಚ
👔	ಉಡುಪು, ನೆಕ್‌ಟೈ
👕	ಉಡುಪು, ಟಿ-ಶರ್ಟ್, ಟಿಶರ್ಟ್, ಶರ್ಟ್
👖	ಉಡುಪು, ಜೀನ್ಸ್, ಪ್ಯಾಂಟ್
🧣	ಕುತ್ತಿಗೆ, ಸ್ಕಾರ್ಫ್
🧤	ಕೈ, ಗ್ಲೋವ್ಸ್
🧥	ಕೋಟು, ಜ್ಯಾಕೆಟ್
🧦	ಬಿಗಿಯುಡುಪು, ಸಾಕ್ಸ್
👗	ಉಡುಗೆ, ಬಟ್ಟೆ
👘	ಉಡುಗೆ, ನಿಲುವಂಗಿ
🥻	ಉಡಿಗೆ, ತೊಡಿಗೆ, ಸೀರೆ
🩱	ಒಂದೇ ತುಂಡಿನ ಈಜುಡುಗೆ, ಸ್ನಾನದ ಉಡುಗೆ
