😀	față, față încântată, încântare
🌉	lumină, noapte, pod, pod luminat noaptea
♨️	aburi, apă, căldură, izvoare termale, izvor
🎠	cal, carousel, căluț de carusel
🎡	bâlci, carnaval, distracție, parc de distracție, roata mare
🎢	adrenalină, montagne russe, parc de distracție
💈	bărbier, indicator, stâlp de bărbier, tuns
🎪	circ, cort, cort de circ
🚂	aburi, cale ferată, locomotivă, motor, transport, tren
🚃	electric, tramvai, transport, troleibuz, vagon, vagon feroviar, șină
🚄	cale ferată, tren, tren de mare viteză, viteză
🚅	aerodinamic, cale ferată, tren, tren de mare viteză cu vârf aerodinamic, viteză
🚆	cale ferată, tren, șine
🚇️	metrou, tren, tunel
🚈	cale ferată, tren ușor, șine
🚉	cale ferată, gară, haltă, stație, tren
🚊	tramvai, troleibuz
🚝	monorai, monoșină
🚞	cale ferată, cale ferată montană, munte
🚋	tramvai, troleibuz, vagon, vagon de tramvai
🚌	autobuz, vehicul
🚍️	autobuz, autobuz care se apropie, sosire
🚎	autobuz, tramvai, troleibuz, troleu
🚐	autobuz, microbuz
🚑️	ambulanță, asistență, medicală, vehicul
🚒	incendiu, mașină de pompieri, salvare, vehicul
🚓	autovehicul, mașină de poliție, patrula, poliție
🚔️	autovehicul, mașină de poliție care se apropie, poliție
🚕	autovehicul, taxi, taximetrie
🚖	apropiere, autovehicul, taxi care se apropie, taximetrie
🚗	automobil, mașină
🚘️	automobil care se apropie, mașină, sosire
🚙	SUV, călătorii, jeep, vacanță, vehicul, vehicul recreațional
🚚	camion, camion de marfă, livrare, marfă
🚛	articulat, camion, camion articulat
🚜	tractor, vehicul
🏎️	curse, mașină, mașină de curse
🏍️	curse, motocicletă
🛵	motor, motoscuter, scuter
🦽	accesibilitate, scaun cu rotile manual
🦼	accesibilitate, scaun cu rotile motorizat
🛺	autoricșă, tuk tuk
🚲️	bicicletă, ciclism
🛴	scuter, trotinetă
🛹	placă, skateboard
🚏	autobuz, oprire, stație de autobuz
🛣️	autostradă, autovehicule, drum
🛤️	cale ferată, tren, șine, șină
🛢️	butoi, butoi de combustibil, tablă
⛽️	alimentare, benzină, benzinărie, combustibil, diesel, pompă, pompă de combustibil
🚨	girofar, girofar de poliție, lumină, poliție, semnal luminos
🚥	semafor, semafor orizontal, semnal, trafic
🚦	semafor, semafor vertical, semnal, trafic
🛑	indicator, octogon, semn, semnul stop, stop
🚧	barieră, construcție, indicator, șantier
⚓️	ancorare, ancoră, instrument, navă, vas
⛵️	barcă, barcă cu pânze, iaht, navigație, pânze
🛶	barcă, canoe
🚤	barcă, barcă de viteză, motor, viteză, șalupă
🛳️	croazieră, navă, pasageri, vas de pasageri
⛴️	feribot, navă, pasageri, transport
🛥️	barcă, barcă cu motor, motonavă, motor, șalupă
🚢	maritim, navigație, navă, pasageri, vapor, vas
✈️	aeronavă, avion, zbor
🛩️	aeronavă mică, avion, ușor
🛫	aeronavă, avion, check-in, plecare, plecare avion, plecări
🛬	aeronavă, aterizare, avion, sosire, sosire avion, sosiri
🪂	deltaplanorism, parasailing, parașutism, parașută
💺	loc în mijloc de transport, scaun, transport
🚁	elice, elicopter, vehicul, zbor
🚟	cabluri, cale ferată, cale ferată suspendată
🚠	cablu, gondolă, munte, telecabină montană, transport
🚡	cablu, gondolă, tramvai aerian, transport
🛰️	cosmos, satelit, spațiu
🚀	cosmos, rachetă, spațiu
🛸	OZN, farfurie zburătoare
🛎️	clopoțel, hotel, recepție, sonerie, sonerie de recepție
🧳	bagaj, călătorie, valiză, voiaj, împachetare
⌛️	clepsidră, clepsidră cu nisipul scurs, nisip, temporizator, timp
⏳️	clepsidră, clepsidră cu nisip care se scurge, curgere, nisip, temporizator, timp
⌚️	ceas, ceas de mână
⏰	alarmă, ceas, ceas deșteptător
⏱️	ceas, cronometru
⏲️	ceas, temporizator
🕰️	ceas, ceas pentru etajeră
🕛️	00:00, 12:00, ceas, doisprezece fix, ora douăsprezece, ora douăsprezece fix
🕧	12:30, ceas, doisprezece treizeci, ora douăsprezece și jumătate
🕐️	13:00, 1:00, ceas, ora unu, ora unu fix, unu, unu fix
🕜	13:30, 1:30, ceas, ora unu și jumătate, unu treizeci
🕑️	14:00, 2:00, ceas, două, două fix, ora două, ora două fix
🕝	14:30, 2:30, ceas, două, două treizeci, ora două și jumătate
🕒️	15:00, 3:00, ceas, ora trei, ora trei fix, trei, trei fix
🕞	15:30, 3:30, ceas, ora trei și jumătate, trei treizeci
🕓️	16:00, 4:00, ceas, ora patru, ora patru fix, patru, patru fix
🕟	16:30, 4:30, ceas, ora patru și jumătate, patru treizeci
🕔️	17:00, 5:00, ceas, cinci, cinci fix, ora cinci, ora cinci fix
🕠	17:30, 5:30, ceas, cinci treizeci, ora cinci și jumătate
🕕️	18:00, 6:00, ceas, ora șase, ora șase fix, șase, șase fix
🕡	18:30, 6:30, ceas, ora șase și jumătate, șase treizeci
🕖️	19:00, 7:00, ceas, ora șapte, ora șapte fix, șapte, șapte fix
🕢	19:30, 7:30, ceas, ora șapte și jumătate, șapte treizeci
🕗️	20:00, 8:00, ceas, opt, opt fix, ora opt, ora opt fix
🕣	20:30, 8:30, ceas, opt treizeci, ora opt și jumătate
🕘️	21:00, 9:00, ceas, nouă, nouă fix, ora nouă, ora nouă fix
🕤	21:30, 9:30, ceas, nouă treizeci, ora nouă și jumătate
🕙️	10:00, 22:00, ceas, ora zece, ora zece fix, zece, zece fix
🕥	10:30, 22:30, ceas, ora zece și jumătate, zece treizeci
🕚️	11:00, 23:00, ceas, ora unsprezece, ora unsprezece fix, unsprezece, unsprezece fix
🕦	11:30, 23:30, ceas, ora unsprezece și jumătate, unsprezece treizeci
🌑	lună, lună nouă, întuneric
🌒	concavă, creștere, lună, lună concavă în creștere, semilună
🌓	lună, lună în primul pătrar, pătrar, unu
🌔	convexă, creștere, lună, lună convexă în creștere, semilună
🌕️	lumină, lună, lună plină, rotund
🌖	convexă, descreștere, lună, lună convexă în descreștere, semilună
🌗	lună, lună în ultimul pătrar, patru, pătrar
🌘	concavă, descreștere, lună, lună concavă în descreștere, semilună
🌙	creștere, lună, semilună
🌚	față, lună, lună nouă cu față, rotundă, întuneric
🌛	față, lună, lună cu față în primul pătrar, pătrar, unu
🌜️	față, lună, lună în ultimul pătrar cu față, patru, pătrar
🌡️	temperatură, termometru, vreme
☀️	lumină, raze, soare, strălucitor, însorit
🌝	față, lună plină, lună plină cu față
🌞	față, raze, soare, soare cu față
🪐	planetă cu inele, saturn, saturnian
⭐️	stea
🌟	stea, stea strălucitoare, strălucire
🌠	cometă, cădere, meteor, stea, stea căzătoare
🌌	Calea Lactee, constelație, stele
☁️	meteo, nor, vreme, înnorat
⛅️	nor, soare, soare în nori, vreme
⛈️	fulger, nor, nor cu fulger și ploaie, ploaie, tunet, vreme
🌤️	nor, soare, soare după un nor mic, vreme
🌥️	nor, soare, soare după un nor mare, vreme
🌦️	nor, ploaie, soare, soare după nor cu ploaie
🌧️	nor, nor cu ploaie, ploaie, vreme
🌨️	fulgi, ninsoare, nor, nor de ninsoare
🌩️	fulger, nor, nor cu fulger
🌪️	nor, tornadă, vârtej
🌫️	ceață, nor, vreme
🌬️	față, față suflând vânt, suflare, vânt
🌀	ciclon, taifun, uragan, vârtej
🌈	cer, culori, curcubeu
🌂	accesoriu, ploaie, umbrelă, umbrelă închisă
☂️	accesoriu, ploaie, umbrelă
☔️	picături, ploaie, umbrelă, umbrelă cu picături de ploaie
⛱️	ploaie, soare, umbrelă, umbrelă pe sol
⚡️	electricitate, fulger, pericol, voltaj, înaltă tensiune
❄️	frig, fulg de nea, zăpadă
☃️	frig, om, om de zăpadă, zăpadă
⛄️	frig, om, om de zăpadă fără zăpadă, zăpadă
☄️	cometă, spațiu
🔥	căldură, flacără, flamă, foc, lumină
💧	bandă desenată, lichid, picătură, transpirație
🌊	mare, ocean, val
🎃	Halloween, dovleac cu felinar, jack-o-lantern, lumânare, sărbătoare
🎄	Crăciun, brad, brad de Crăciun, sărbătoare
🎆	artificii, sărbătoare
🎇	artificii, foc bengal, scântei, sărbătoare
🧨	artificii, dinamită, explozibil, petardă
✨	*, luminițe, stea, steluțe, steluță
🎈	balon, sărbătoare
🎉	con, confeti, petrecere, tun cu confetti
🎊	confeti, minge cu confetti, petrecere, sărbătoare
🎋	Japonia, copac, copac tanabata, sărbătoare
🎍	decor, decorațiune japoneză de pin, pin, sărbătoare
🎎	Japonia, festival, păpuși japoneze, păpușă, sărbătoare
🎏	crap, crap decorativ în vânt, sărbătoare, vânt
🎐	clopoței de vânt, clopoțel, vânt
🎑	ceremonia lunii, ceremonie, lună, sărbătoare
🧧	bani, cadou, noroc, plic roșu
🎀	festiv, fundă, panglică, sărbătoare
🎁	cadou, cadou împachetat, cutie, fundă
🎗️	comemorare, panglică, panglică „in memoriam”, susținere
🎟️	acces, bilet, bilete de intrare, intrare
🎫	bilet, intrare
🎖️	medalie, medalie militară, militară, onoare
🏆️	cupă, premiu, trofeu
🏅	medalie, medalie sportivă, performanță, sport
🥇	aur, medalie, medalie locul I, primul
🥈	al doilea, argint, medalie, medalie locul II
🥉	al treilea, bronz, medalie, medalie locul III
⚽️	fotbal, minge, minge de fotbal, sport
⚾️	baseball, minge, sport
🥎	minge, mănușă, softball, subraț
🏀	baschet, coș, minge, sport
🏐	minge, mână, sport, volei
🏈	american, balon oval, fotbal, fotbal american, minge
🏉	balon oval, minge, rugby, sport
🎾	minge, rachetă, sport, tenis
🥏	disc zburător, frisbee
🎳	bilă, bowling, joc, popice
🏏	bâtă, crichet, minge, sport
🏑	crosă, câmp, gazon, hochei, hochei de câmp, minge
🏒	crosă, gheață, hochei pe gheață, puc, sport
🥍	crosă, lacrosse, minge, poartă
🏓	minge, paletă, ping pong, sport, tenis de masă
🏸	badminton, fluturaș, rachetă, sport
🥊	box, mănuși, mănușă de box, sport
🥋	arte marțiale, costum, costum arte marțiale, judo, karate, taekwondo
🥅	gol, plasa porții, plasă, poartă
⛳️	gaură, golf, steag, steag în gaură la golf
⛸️	gheață, patină, patină de gheață
🎣	pescuit, pește, undiță
🤿	mască de scufundări, scuba, scufundare cu tub de respirat, scufundări, snorkeling
🎽	atletism, sport, tricou, tricou de alegare
🎿	pârtie, schiuri, zăpadă
🛷	pârtie, sanie, săniuș, zăpadă
🥌	joc, piatră, piatră de curling
🎯	centru, darts, fix la țintă, reușită, țintă
🪀	fluctua, jucărie, yo-yo
🪁	plana, pluti, zbura, zmeu
🎱	biliard, bilă, gaură, joc, opt
🔮	basm, cristal, fantezie, glob, glob de cristal, noroc
🧿	amuletă, amuletă nazar, ochiul magic, ochiul răului, talisman
🎮️	controller, joc, joc video, video
🕹️	joc, joystick, manetă, video
🎰	joc, jocuri mecanice, manetă, noroc
🎲	joc, noroc, zar
🧩	indiciu, joc de puzzle, mozaic, piesă, piesă de puzzle, puzzle
🧸	jucărie, pluș, ursuleț, ursuleț de pluș
♠️	cărți, inimă neagră, joc, pică
♥️	cupă, cărți, inimă roșie, joc
♦️	caro, cărți, joc, romb
♣️	cărți, joc, treflă
♟️	consumabil, de sacrificiu, pion de șah, șah
🃏	cărți, joc, joker, păcălici
🀄️	dragon roșu la mahjong, joc, mahjong, roșu
🎴	Japonia, carte, cărți de joc cu flori, floare, joc
🎭️	arte interpretative, artă, măști, spectacol, teatru
🖼️	artă, muzeu, pictură, ramă, tablou, tablou înrămat, înrămat
🎨	artist, artă, muzeu, paletă, paletă de pictor, pictură
🧵	ac, ață, croitorie, cusut, mosor
🧶	croșeta, fir textil, ghem, tricota
👓️	ochelari, ochi, vedere
🕶️	ochelari, ochelari de soare, protecție, soare
🥽	ochelari de protecție, protecția vederii, sudură, înot
🥼	doctor, experiment, halat de laborator, om de știință
🦺	siguranță, urgență, vestă, vestă de siguranță
👔	cravată, îmbrăcăminte
👕	tricou, îmbrăcăminte
👖	blugi, jeans, pantalon, îmbrăcăminte
🧣	eșarfă, gât
🧤	mână, mănuși
🧥	haină, jachetă, palton, pardesiu
🧦	ciorapi, șosete
👗	rochie, îmbrăcăminte
👘	chimono, kimono, îmbrăcăminte
🥻	rochie, sari, îmbrăcăminte
🩱	costum de baie, costum de înot întreg
🩲	chilot, costum de baie, lenjerie, slip
🩳	boxeri, costum de baie, lenjerie, șort
👙	bikini, costum de baie, feminin, înot
👚	femeie, feminin, haine, haine de damă
👛	accesoriu, feminin, poșetă
👜	accesoriu, feminin, geantă de mână, poșetă
👝	accesoriu, geantă, gentuță
🛍️	cumpărături, sacoșe de cumpărături, transport
🎒	ghiozdan, rechizite, rucsac, școală
👞	bărbat, masculin, pantof bărbătesc, încălțăminte
👟	alergare, atletism, pantof sport, sport, încălțăminte
🥾	bocanc, camping, drumeție, gheată
🥿	balerin, mocasin, pantof fără toc
👠	femeie, feminin, pantof cu toc, toc înalt, încălțăminte
👡	femeie, feminin, pantof, sanda de damă, încălțăminte
🩰	balet, dans, pantofi de balet
👢	cizmă de damă, femeie, feminin, pantof, încălțăminte
👑	coroană, putere, regalitate, rege, regină, încoronat
👒	femeie, feminin, pălărie, pălărie de damă, îmbrăcăminte
🎩	joben, pălărie, îmbrăcăminte
🎓️	absolvire, festiv, pălărie, sărbătorire, tichie de absolvent
🧢	șapcă, șapcă cu cozoroc, șapcă de baseball
⛑️	ajutor, alb, cască, cască de pompier salvator, cruce, roșu
📿	meditație, mărgele, mătănii, religie, rugăciune
💄	cosmetice, machiaj, ruj, ruj de buze
💍	diamant, inel, logodnă
💎	bijuterie, diamant, nestemată, piatră prețioasă
🔇	difuzor fără sunet, fără sunet, liniște, sonor tăiat
🔈️	sunet slab, sunet încet, volum scăzut al difuzorului
🔉	sunet mediu, volum mediu al difuzorului
🔊	gălăgie, sunet puternic, volum ridicat al difuzorului
📢	difuzare, mesaj public, portavoce
📣	difuzare, megafon, sunet
📯	corn, corn poștal, poștă
🔔	clopoțel, sonerie
🔕	clopoțel, clopoțel tăiat, interzis, liniște, silențios
🎼	cheia sol, muzică, partitură, portativ
🎵	muzică, notă, notă muzicală
🎶	muzică, note, note muzicale
🎙️	microfon, microfon de studio, muzică, studio
🎚️	glisor, glisor de nivel, muzică, nivel
🎛️	butoane, butoane de control, muzică, reglaj, reglare
🎤	karaoke, microfon, muzică
🎧️	cască audio, cască extraauriculară, cască intraauriculară
📻️	radio, video
🎷	instrument, muzică, saxofon
🎸	chitară, instrument, muzică
🎹	clape, claviatură muzicală, instrument, muzică, pian
🎺	instrument, muzică, trompetă
🎻	instrument, muzică, vioară
🪕	banjo, coarde, muzică
🥁	bețe de tobă, muzică, tobă
📱	celular, mobil, telefon, telefon mobil
📲	celular, mobil, recepție, săgeată, telefon, telefon mobil cu săgeată
☎️	fix, telefon
📞	receptor, receptor de telefon, telefon
📟️	comunicare, dispozitiv, pager
📠	comunicare, dispozitiv, echipament fax, fax
🔋	baterie, energie
🔌	electric, electricitate, fișă electrică, priză, ștecher
💻️	PC, computer laptop, computer personal, laptop, notebook, portabil
🖥️	birou, computer, computer de birou, computer desktop
🖨️	computer, imprimantă, imprimare, tipărire
⌨️	computer, tastatură, taste
🖱️	computer, maus, periferic
🖲️	computer, periferic, trackball
💽	computer, disc, disc de computer, minidisc, unitate optică
💾	computer, dischetă, floppy, stocare
💿️	cd, computer, disc, unitate optică
📀	blu-ray, computer, disc, dvd, optic
🧮	abac, calcul, calcule, numărătoare
🎥	aparat de filmat, cinema, film, filmare
🎞️	cadre, cinema, film, peliculă, peliculă de film
📽️	cinema, film, proiector, proiector de film, video
🎬️	clachetă, film, filmare
📺️	televizor, tv, video
📷️	aparat de fotografiat, cameră foto, fotografie, video
📸	aparat de fotografiat, bliț, cameră foto cu bliț, fotografie, video
📹️	cameră, cameră video, filmare, video
📼	VHS, casetă, casetă video, video
🔍	căutare, instrument, lupă, lupă înclinată spre stânga, mărire
🔎	căutare, instrument, lupă, lupă înclinată spre dreapta, mărire
