😀	মুখ, হাঁহি, হাস্য মুখী
🏍️	মটৰ চাইকেল, ৰেচিং
🛵	মটৰ, মটৰ স্কুটাৰ, স্কুটাৰ
🦽	দিব্যাংগ, হস্তচালিত হুইলশ্বেয়াৰ
🦼	দিব্যাংগ, মটৰচালিত হুইলশ্বেয়াৰ
🛺	অট’ ৰিক্সা, টুক টুক
🚲️	বাইক, বাইচাইকেল
🛴	কিক, কিক স্কুটাৰ, স্কুটাৰ
🛹	ব’ৰ্ড, স্কেটব’ৰ্ড
🚏	আস্থান, বাছ, বাছ ষ্টপ, বাছষ্টপ
🛣️	মটৰপথ, ৰাজপথ, ৰাস্তা
🛤️	ট্ৰেইন, ৰেইলৱে, ৰেইলৱে ট্ৰেক
🛢️	ঢোল, তেল, তেলৰ ঢোল
⛽️	গেছ, তেল, তেলপাম্প, তেলৰ পাম্প, পাম্প, ষ্টেচন
🚨	গাড়ী, ঘূৰ্ণয়মান, পুলিচ, পুলিচৰ গাড়ীৰ পোহৰ, পোহৰ, বিকন
🚥	অনুভূমিক ট্ৰেফিক লাইট, চিগনেল, ট্ৰেফিক, লাইট
🚦	উলম্ব ট্ৰেফিক লাইট, চিগনেল, ট্ৰেফিক, লাইট
🛑	অষ্টভূজি, চিহ্ন, ৰখাওক, ৰখোৱাৰ চিহ্ন
🚧	নিৰ্মাণ, বাধা
⚓️	জাহাজ, লংগৰ, সঁজুলি
⛵️	নাও, পাল তৰা নাও, সাগৰ, ৰিজৰ্ট
🛶	নাও, সৰু নাও
🚤	নাও, স্পীডব’ট
🛳️	জাহাজ, যাত্ৰী, যাত্ৰীবাহী জাহাজ
⛴️	নাও, ফেৰী, যাত্ৰী
🛥️	নাও, মটৰ ব’ট, মটৰব’ট
🚢	জাহাজ, নাও, যাত্ৰী
✈️	উৰাজাহাজ, বিমান
🛩️	উৰাজাহাজ, বিমান, সৰু বিমান
🛫	উৰাজাহাজ, চেক ইন, প্ৰস্থান, বিমান, বিমান প্ৰস্থান
🛬	অৱতৰণ, আগমন, উৰাজাহাজ, বিমান, বিমানৰ আগমন
🪂	পেৰাচুট, পেৰাছে’ল, স্কাইডাইভ, হেং গ্লাইড
💺	আসন, চকী
🚁	গাড়ী, হেলিকপ্টাৰ
🚟	স্থগিত, স্থগিত ৰেইলৱে, ৰেইলৱে
🚠	কেব’ল, গণ্ডলা, পৰ্ব্বত, পৰ্ব্বতৰ কেব’লপথ
🚡	এৰিয়েল, এৰিয়েল ট্ৰামৱে, কেব’ল, গণ্ডলা, গাড়ী, ট্ৰামৱে
🛰️	উপগ্ৰহ, মহাকাশ
🚀	মহাকাশ, ৰকেট
🛸	ইউফ’, উড়ন্ত চাকি
🛎️	বেল, বেলহপ, বেলহপ বল, বেলহপ বেল, হোটেল
🧳	পেকিং, মালবস্তু, যাত্ৰা
⌛️	টাইমাৰ, বালি, বালিঘড়ী
⏳️	টাইমাৰ, বালি, বালিঘড়ী, বালিঘড়ী সম্পন্ন হোৱা নাই, বালিঘড়ী সম্পান্ন হোৱা নাই
⌚️	ঘড়ী, হাতঘড়ী
⏰	এলাৰ্ম, এলাৰ্ম ক্ল’ক, ঘড়ী
⏱️	ঘড়ী, ষ্টপৱাছ
⏲️	ঘড়ী, টাইমাৰ, টাইমাৰ ঘড়ী
🕰️	ঘড়ী, মেণ্টেলপিচ ঘড়ী
🕛️	ঘড়ী, বজা, বাৰ বাজিছে, বাৰটা, ০০, ১২, ১২:০০
🕧	ঘড়ী, চাৰে বাৰটা, ত্ৰিশ, বাৰটা, ১২, ১২:৩০, ৩০
🕐️	এটা, এটা বাজিছে, ঘড়ী, বজা, ০০, ১, ১:০০
🕜	এক, ঘড়ী, ডেৰটা, ডেৰটা বাজিছে, ত্ৰিশ, ১, ১:৩০
🕑️	ঘড়ী, দুটা, দুটা বাজিছে, বজা, ০০, ২, ২:০০
🕝	আঢ়ৈটা বাজিছে, ঘড়ী, ত্ৰিশ, দুটা, ২, ২:৩০, ৩০
🕒️	ঘড়ী, তিনি, তিনিটা বাজিছে, বজা, ০০, ৩, ৩:০০
🕞	ঘড়ী, চাৰে তিনিটা বাজিছে, তিনি, ত্ৰিশ, ৩, ৩:৩০, ৩০
🕓️	ঘড়ী, চাৰি, চাৰিটা বাজিছে, বজা, ০০, ৪, ৪:০০
🕟	ঘড়ী, চাৰি, চাৰে চাৰিটা বাজিছে, ত্ৰিশ, ৪, ৪:৩০
🕔️	ঘড়ী, পাঁচ, পাঁচটা বাজিছে, বজা, ০০, ৫, ৫:০০
🕠	ঘড়ী, চাৰে পাঁচটা বাজিছে, ত্ৰিশ, পাঁচ, ৩০, ৫, ৫:৩০
🕕️	ঘড়ী, ছয়, ছয়টা বাজিছে, বজা, ০০, ৬, ৬:০০
🕡	ঘড়ী, চাৰে ছয়টা বাজিছে, ছয়, ত্ৰিশ, ৬, ৬:৩০
🕖️	ঘড়ী, বজা, সাতটা, সাতটা বাজিছে, ০০, ৭, ৭:০০
🕢	ঘড়ী, চাৰে সাতটা বাজিছে, ত্ৰিশ, সাতটা, ৩০, ৭, ৭:৩০
🕗️	আঠ, আঠটা বাজিছে, ঘড়ী, বজা, ০০, ৮, ৮:০০
🕣	আঠ, ঘড়ী, চাৰে আঠটা বাজিছে, ত্ৰিশ, ৩০, ৮, ৮:৩০
🕘️	ঘড়ী, ন, নটা বাজিছে, বজা, ০০, ৯, ৯:০০
🕤	ঘড়ী, চাৰে নটা বাজিছে, ত্ৰিশ, ন, ৩০, ৯, ৯:৩০
🕙️	ঘড়ী, দহ, দহটা বাজিছে, বজা, ০০, ১০, ১০:০০
🕥	ঘড়ী, চাৰে দহটা বাজিছে, ত্ৰিশ, দহ, ১০, ১০:৩০, ৩০
🕚️	এঘাৰ, এঘাৰটা বাজিছে, ঘড়ী, বজা, ০০, ১১, ১১:০০
🕦	এঘাৰ, ঘড়ী, চাৰে এঘাৰটা বাজিছে, ত্ৰিশ, ১১, ১১:৩০, ৩০
🌑	আন্ধাৰ, চন্দ্ৰ, ন জোন
🌒	চন্দ্ৰ, বৰ্দ্ধিত, বৰ্দ্ধিত অৰ্দ্ধচন্দ্ৰ, ৱেক্সিং
🌓	চতুৰ্থাংশ, চন্দ্ৰ, প্ৰথম চতুৰ্থাংশ চন্দ্ৰ
🌔	অৰ্ধাধিক, চন্দ্ৰ, বৰ্দ্ধিত অৰ্ধাধিক চন্দ্ৰ, ৱেক্সিং
🌕️	চন্দ্ৰ, পূৰ্ণ, পূৰ্ণ চন্দ্ৰ
🌖	অৰ্ধাধিক, ক্ষীয়মান, ক্ষীয়মান অৰ্ধাধিক চন্দ্ৰ, চন্দ্ৰ
🌗	চতুৰ্থাংশ, চন্দ্ৰ, চন্দ্ৰৰ অন্তিম চতুৰ্থাংশ
🌘	অৰ্ধচন্দ্ৰ, ক্ষীয়মান, ক্ষীয়মান অৰ্ধচন্দ্ৰ, চন্দ্ৰ
🌙	অৰ্ধচন্দ্ৰ, কাঁচিজোন, চন্দ্ৰ
🌚	চন্দ্ৰ, চন্দ্ৰৰ নতুন মুখ, মুখ
🌛	চতুৰ্থাংশ, চন্দ্ৰ, চন্দ্ৰৰ প্ৰথম চতুৰ্থাংশৰ মুখ, মুখ
🌜️	চতুৰ্থাংশ, চন্দ্ৰ, চন্দ্ৰৰ অন্তিম চতুৰ্থাংশৰ মুখ, মুখ
🌡️	থাৰ্ম’মিটাৰ, বতৰ
☀️	উজ্জ্বল, সূৰ্য্য, ৰশ্মি, ৰ’দ
🌝	উজ্জ্বল, চন্দ্ৰ, পূৰ্ণ চন্দ্ৰৰ মুখ, মুখ, সম্পূৰ্ণ
🌞	উজ্জ্বল, মুখ, মুখৰ সৈতে সূৰ্য্য, সূৰ্য্য
🪐	অপ্ৰফুল্ল, শনি গ্ৰহ, শনিগ্ৰহ
⭐️	তৰা, বগা মধ্যম তৰা
🌟	উজ্জ্বল, উজ্জ্বল তৰা, জাকজমক, তৰা
🌠	উল্কা, তৰা, পতিত, শ্বুটিং
🌌	আকাশীগঙ্গা, মহাকাশ
☁️	ডাৱৰ, বতৰ
⛅️	ডাৱৰ, ডাৱৰৰ পিছফালে সূৰ্য্য, সূৰ্য্য
⛈️	ডাৱৰ, বিজুলী, বৰষুণ, মেঘৰ সৈতে বিজুলী আৰু বৰষুণ, মেঘৰ সৈতে বিজুলী আৰু বৰষূণ
🌤️	কম ডাৱৰৰ পিছফালে সূৰ্য্য, ডাৱৰ, সূৰ্য্য
🌥️	ডাৱৰ, বেছি ডাৱৰৰ পিছফালে সূৰ্য্য, সূৰ্য্য
🌦️	ডাৱৰ, বৰষুণ, বৰষুণৰ পিছফালে সূৰ্য্য, সূৰ্য্য
🌧️	ডাৱৰ, বৰষুণ, বৰষুণৰ সৈতে ডাৱৰ
🌨️	ঠাণ্ডা, ডাৱৰ, বৰফ, বৰফৰ সৈতে ডাৱৰ
🌩️	ডাৱৰ, বিজুলী, বিজুলীৰ সৈতে ডাৱৰ
🌪️	ঘূৰ্ণিবতাহ, ডাৱৰ
🌫️	কুঁৱলি, ডাৱৰ
🌬️	ডাৱৰ, বতাহ, বতাহৰ মুখ, মুখ
🌀	ঘূৰ্ণিবায়ু, টাইফ’ন, টুইষ্টাৰ, বিভ্ৰান্তিকৰ
🌈	বৰষুণ, ৰামধেনু
🌂	ছাতি, পোছাক, বন্ধ ছাতি, বৰষুণ
☂️	ছাতি, পোছাক, বৰষুণ
☔️	ছাতি, টোপাল, পোছাক, বৰষুণ, বৰষুণৰ টোপাল সহ ছাতি
⛱️	ছাতি, বৰষুণ, মাটিত থকা ছাতি, সূৰ্য্য
⚡️	ইলেক্ট্ৰিক, উচ্চ ভ’ল্টেজ, জেপ, পোহৰ, বিপদ, ভ’ল্টেজ
❄️	ঠাণ্ডা, তুষাৰ, তুষাৰকণা
☃️	ঠাণ্ডা, তুষাৰ, তুষাৰমানৱ
⛄️	ঠাণ্ডা, তুষাৰ, তুষাৰ বিহীন তুষাৰমানৱ, তুষাৰমানৱ
☄️	ধুমকেতু, মহাকাশ
🔥	অগ্নি, শিখা, সঁজুলি
💧	কমিক, ঘাম, টোপাল, ঠাণ্ডা
🌊	জল তৰঙ্গ, তৰঙ্গ, পানী, মহাসাগৰ
🎃	উদযাপন, জেক, জেক-অ’-লেণ্টাৰ্ণ, লেণ্টাৰ্ণ, হেল’ৱিন
🎄	উদযাপন, গছ, বৰদিন, বৰদিনৰ গছ
🎆	আতচবাজী, উদযাপন
🎇	আতচবাজী, উদযাপন, তিৰবিৰা, ফুলজাৰি
🧨	ডিনামাইট, ফটকা, বিস্ফোৰক
✨	*, চিকমিকনি, তিৰবিৰীয়া, তৰা
🎈	উদযাপন, বেলুন
🎉	উদযাপন, টাডা, পপাৰ, পাৰ্টি, পাৰ্টি পপাৰ
🎊	উদযাপন, কনফেটি, কনফেটি বল, বল
🎋	উদযাপন, গছ, জাপানী, টানাবানাটা গছ, বেনাৰ
🎍	উদযাপন, জাপানী, পাইন, পাইন সজ্জা, বাঁহ
🎎	উদযাপন, উৎসৱ, জাপানী, জাপানী পুতলা, পুতলা
🎏	উদযাপন, কাৰ্প, কাৰ্প ষ্ট্ৰিমাৰ, ষ্ট্ৰিমাৰ
🎐	উদযাপন, ঘণ্টা, বতাহ, সুৰধ্বনি ঘণ্টা
🎑	অনুষ্ঠান, উদযাপন, চন্দ্ৰ, চন্দ্ৰ দৰ্শন উৎসৱ
🧧	উপহাৰ, ধন, লাই চি, সৌভাগ্য, হংবাও, ৰঙা লেফাফা
🎀	উদযাপন, ফিটা
🎁	আচ্ছাদিত উপহাৰ, উদযাপন, উপহাৰ, নুৰিওৱা, বাকছ
🎗️	উদযাপন, ফিটা, স্মাৰক, স্মাৰক ফিটা
🎟️	টিকট, প্ৰবেশ, প্ৰবেশ টিকট, প্ৰবেশ টিকটবোৰ
🎫	টিকট, প্ৰবেশ
🎖️	উদযাপন, পদক, সামৰিক, সামৰিক পদক
🏆️	পুৰস্কাৰ, বঁটা
🏅	খেলৰ পদক, পদক
🥇	পদক, প্ৰথম, সোণ, ১ম স্থানৰ পদক
🥈	দ্বিতীয়, পদক, ২য় স্থানৰ পদক, ৰূপ
🥉	তৃতীয়, পদক, ব্ৰঞ্জ, ৩য় স্থানৰ পদক
⚽️	ফুটবল, বল
⚾️	বল, বেইছবল
🥎	আণ্ডাৰআৰ্ম, গ্ল’ভ, চ’ফ্টবল, বল
🏀	বল, বাস্কেটবল, হুপ্
🏐	ক্ৰীড়া, বল, ভলীবল
🏈	আমেৰিকান, আমেৰিকান ফুটবল, ফুটবল, বল
🏉	ফুটবল, বল, ৰাগবী, ৰাগবী ফুটবল
🎾	টেনিছ, বল, ৰেকেট
🥏	উড়ন্ত ডিস্ক, চূড়ান্ত
🎳	ক্ৰীড়া, বল, বৌলিং
🏏	ক্ৰিকেট খেল, ক্ৰীড়া, বল, বেট
🏑	ক্ৰীড়া, ফিল্ড, ফিল্ড হকী, বল, হকী, হকীষ্টিক
🏒	আইচ, আইচ হকী, আইচ হকীষ্টিক, ক্ৰীড়া, পাক্, হকী
🥍	গ্ল’ভ, বল, লেক্ৰোছি, ষ্টিক
🏓	টেবুল টেনিছ, পিং পং, পেডেল, বল, বেট
