😀	cerenje, lice
📖	knjiga, otvorena, otvorena knjiga
📗	knjiga, zelena knjiga, zeleno
📘	knjiga, plava knjiga, plavo
📙	knjiga, narandžasta knjiga, narandžasto
📚️	knjiga, knjige
📓	sveska
📒	rokovnik
📃	dokument, stranica, stranica blago savijena, uvoj
📜	papir, svitak
📄	dokument, stranica, stranica okrenuta prema gore
📰	novine, novosti, papir
🗞	novine, novosti, papir, smotane novine, smotano
📑	bukmark, knjiga, marker, markeri za knjige, oznaka
🔖	marker, oznaka
🏷️	etiketa
💰️	dolar, novac, vreća, vreća novca
💴	jen, novac, novčanica, novčanica jena, valuta
💵	dolar, novac, novčanica, novčanica dolara, valuta
💶	euro, novac, novčanica, novčanica eura, valuta
💷	funta, novac, novčanica, novčanica funte, valuta
💸	dolar, krila, novac, novac sa krilima, novčanica
💳️	banka, kartica, kredit, kreditna kartica, pare
🧾	evidencija, izvod, knjigovodstvo, račun, računovodstvo
💹	grafikon sa jenom koji prikazuje rast, jen, prikaz rasta, trend, valuta
💱	banka, mjenjačnica, novac, pare, valuta
💲	dolar, pare, podebljani znak dolara, valuta
✉️	e-mail, e-pošta, koverta, pošta
📧	e-pošta, email, pošta
📨	e-mail, e-poruka, e-pošta, pismo, pristigla koverta, pristigla pošta
📩	e-mail, e-poruka, e-pošta, koverta sa strelicom prema dolje, koverta sa strjelicom, odlazna pošta
📤️	kutija, ladica, ladica za slanje pošiljke, pismo, poslana pošta
📥️	dolazna pošta, kutija, ladica, ladica za dolaznu pošiljku, ladica za dolaznu poštu, primiti
📦️	kutija, paket
📫️	pošta, poštanski sandučić, zatvoren sandučić sa podignutom zast., zatvoren sandučić sa podignutom zastavicom
📪️	pošta, poštanski sandučić, zatvoren sandučić sa spuštenom zastavicom
📬️	otvoren, otvoren sandučić sa podignutom zast., otvoren sandučić sa podignutom zastavicom, pošta, poštanski sandučić
📭️	otvoren, otvoren sandučić sa spuštenom zastavicom, pošta, poštanski sandučić
📮	poštansko, poštansko sanduče, sanduče
🗳️	glasačka, glasačka kutija sa glasačkim listićem, kutija
✏️	olovka
✒️	crno pero, olovka, pero
🖋️	naliv, nalivpero, pero
🖊️	hemijska, olovka
🖌️	crtanje, farbanje, četka, četkica
🖍️	voštana, voštana olovka
📝	bilješka, olovka, papir, podsjetnik
💼	aktovka
📁	fajl, fascikla
📂	fajl, fascikla, otvorena fascikla, otvoreno
🗂️	dokumenti, fascikla, fascikla s odjeljcima, odjeljci
📅	datum, kalendar
📆	kalendar, kalendar na kidanje
🗒️	blokčić, notes, spiralni blokčić, spiralni uvez
🗓️	kalendar, spiralni kalendar, spiralni uvez
📇	rotirajući stalak za vizit kartice, stalak, vizit kartica, vizitka
📈	dijagram, dijagram rasta, grafikon, rast
📉	dijagram, dijagram opadanja, grafikon, opadanje
📊	dijagram, grafikon, stupčasti grafikon
📋️	clipboard, tabla za držanje papira
📌	pribadača, špenadla
📍	okrugla pribadača, pribadača, špenadla
📎	spajalica
🖇️	spajalice, spojene spajalice, spojeno
📏	lenjir, linijar
📐	lenjir, linijar, trokut, trokutasti linijar, trougao
✂️	makaze, pribor
🗃️	fascikle, kartonska kutija za fascikle, kutija
🗄️	fascikle, kartoteka, ormar
🗑️	korpa za otpatke
🔒️	katanac, zaključano
🔓️	otključan katanac, otključano
🔏	katanac, katanac s olovkom, katanac sa olovkom, naliv pero, privatnost, tinta
🔐	katanac, ključ, sigurno, zatvoren, zatvoren katanac sa ključem
🔑	ključ, lozinka, zaključan, šifra
🗝️	katanac, ključ, star, stari ključ, trag
🔨	alat, čekić
🪓	cijepati, drvo, sjekira, sjeći
⛏️	alat, krampa, rudarstvo
⚒️	alat, rudarstvo, čekić, čekić i krampa
🛠️	alat, ključ, čekić, čekić i ključ
🗡️	bodež, nož, oružje
⚔️	mačevi, oružje, ukršteni, ukršteni mačevi
🔫	alat, oružje, pištolj, revolver
🏹	luk, luk i strijela, strijela, strijelac, zodijak
🛡️	oružje, štit
🔧	alat, ključ viljuškasti
🔩	alat, matica, vijak, šaraf, šaraf i matica
⚙️	alat, zupčanik
🗜️	alat, kompresija, stega
⚖️	jednakost, pravda, uteg, vaga, zodijak
🦯	pomagalo, slijepi, štap za slabovidne i slijepe
🔗	karika
⛓️	lanac, lanci
🧰	alat, kofer, kutija za alat, mehaničar
🧲	magnet, magnetski, potkovica, privlačenje
⚗️	alat, alembik, hemija
🧪	eksperiment, epruveta, hemija, hemičar, laboratorija, nauka
🧫	bakterija, biolog, biologija, kultura, laboratorija, petri jelo
🧬	biolog, dnk, evolucija, gen, genetika, život
🔬	alat, mikroskop
🔭	alat, teleskop
📡	antena, satelitska, satelitska antena, tanjir
💉	bolest, igla, injekcija, lijek, šprica
🩸	doniranje krvi, kapljica krvi, medicina, menstruacija, menzes
💊	bolest, doktor, medicina, pilula
🩹	adhezivni flaster, flaster
🩺	doktor, medicina, srce, stetoskop
🚪	vrata
🛏️	hotel, krevet, spavanje
🛋️	hotel, kauč, kauč i lampa, lampa
🪑	sjedalo, sjediti, stolica
🚽	toalet, wc, wc šolja
🚿	tuš, voda
🛁	kada, kupanje
🪒	brijač, oštrica, čakija
🧴	losion, ovlaživač, zaštitni faktor, šampon
🧷	bašlija, punk rock
🧹	metenje, metla, vještica, čišćenje
🧺	korpa, piknik, poljoprivreda, veš
🧻	papirni ubrusi, toalet papir
🧼	kupanje, pranje, sapun, sapunica, čišćenje
🧽	porozno, spužva, upijanje, čišćenje
🧯	aparat za gašenje požara, gašenje, požar, vatra
🛒	kolica, kupovina, supermarket, šoping
🚬	pušenje
⚰️	smrt, tabut
⚱️	sahrana, smrt, urna
🗿	kamena, lice, moai, skulptura, statua
🏧	banka, bankomat, blagajna, oznaka bankomata, znak
🚮	kanta, otpaci, smeće, znak za odlaganje otpada
🚰	pitka, pitka voda, piće, voda
♿️	invalidska kolica, prilaz
🚹️	muški, muški zahod, toalet, wc, zahod
🚺️	toalet, wc, zahod, ženski, ženski zahod
🚻	toalet, wc, zahod
🚼️	beba, presvlačenje, slika bebe
🚾	klozet, toalet, voda, wc
🛂	kontrola, pasoš, pasoška kontrola
🛃	carina
🛄	preuzimanje, preuzimanje prtljaga, prtljag
🛅	garderoba, ormar, prtljag
⚠️	upozorenje
🚸	dijete, dječji prijelaz, pješak, prelazi, saobraćaj
⛔️	ne, nema, saobraćaj, zabranjen ulaz, zabranjeno, zaustavljen
🚫	ne, ulaz, zabrana, zabranjen, zaustavljen
🚳	biciklo, ne, vozilo, zabranjeno, zabranjeno za bicikliste
🚭️	ne, nema, pušenje, zabranjeno, zabranjeno pušenje
🚯	ne bacati, otpad, smeće, zabranjeno, zabranjeno bacanje otpada
🚱	nepitka voda, nije pitka, piće, voda, zabranjeno
🚷	nema, pješačenje, prolaz, zabranjeno, zabranjeno za pješake
📵	mobilini, ne, telefon, zabranjen, zabranjeno korištenje mobilnog telefona
🔞	18, maloljetan, ne, osamnaest, zabranjen pristup maloljetnima
☢️	radioaktivno, znak
☣️	biološka, biološka opasnost, opasnost, znak
⬆️	sjever, smjer, strjelica, strjelica gore
↗️	sjeveroistok, smjer, strjelica, strjelica gore-desno
➡️	istok, smjer, strjelica, strjelica desno
↘️	jugoistok, smjer, strjelica, strjelica dolje-desno
⬇️	jug, smjer, strjelica, strjelica dolje
↙️	jugozapad, smjer, strjelica, strjelica dolje-lijevo
⬅️	smjer, strjelica, strjelica lijevo, zapad
↖️	sjeverozapad, smjer, strjelica, strjelica gore-lijevo
↕️	strjelica, strjelica gore-dolje
↔️	strjelica, strjelica lijevo-desno
↩️	strjelica, strjelica desno zakrivljena nalijevo
↪️	strjelica, strjelica lijevo zakrivljena nadesno
⤴️	strjelica, strjelica desno zakrivljena prema gore
⤵️	strjelica, strjelica desno zakrivljena prema dolje
🔃	smjer kretanja kazaljki na satu, strjelica, strjelice vertikalno kretanje kazaljki na satu
🔄	smjer suprotan kretanju kazaljki na satu, strjelica, strjelice dugme suprotno kretanju kazaljki na satu, strjelice suprotno od smjera kretanja sata
🔙	nazad, strjelica, strjelica za nazad
🔚	kraj, strjelica, strjelica za kraj
🔛	oznaka, strjelica, strjelica za uključeno, uključeno
🔜	strjelica, strjelica za uskoro, uskoro
🔝	gore, strjelica, strjelica za gore
🛐	bogomolja, religija, vjerovanje
⚛️	ateista, atom, simbol atoma
🕉️	hindu, religija, simbol om
✡️	david, davidova zvijezda, religija, zvijezda, židov
☸️	budizam, dharma, religija, točak, točak dharme
☯️	jang, jin, jin jang, religija, tao, taoizam
✝️	katolicizam, križ, latinski križ, religija
☦️	krst, pravoslavlje, pravoslavni krst, religija
☪️	islam, musliman, polumjesec i zvijezda, religija
☮️	mir, simbol za mir
🕎	menora, religija, svijeća, svijećnjak
🔯	zvijezda, šestokraka zvijezda s tačkom u sredini
♈️	horoskop, znak, znak ovan, zodijak
♉️	bik, horoskop, znak, zodijak
♊️	blizanci, horoskop, znak, zodijak
♋️	horoskop, znak, znak rak, zodijak
♌️	horoskop, lav, znak, zodijak
♍️	djevica, horoskop, znak, zodijak
♎️	horoskop, znak, znak vaga, zodijak
♏️	horoskop, znak, znak škorpion, zodijak
♐️	horoskop, strijelac, znak, zodijak
♑️	horoskop, jarac, znak, zodijak
♒️	horoskop, vodolija, znak, zodijak
♓️	horoskop, ribe, znak, zodijak
⛎	guja, horoskop, zmija, zmijonosac, zodijak
🔀	dugme za ispreskakani redoslijed, isprepletena, strjelica
🔁	dugme za ponavljanje, ponavljanje, strjelica
🔂	dugme za ponavljanje jednog zapisa, jedan, ponavljanje, strjelica
▶	desno, dugme za reprodukciju, reproduciraj, strjelica, trokut
⏩	brzo, dugme za ubrzavanje, dupla strjelica, naprijed, ubrzaj
⏭	dugme za sljedeći zapis, sljedeća scena, sljedeći zapis, strjelica, trokut
⏯	desno, dugme za pauziranje ili nastavak, pauza, reproduciraj
◀	dugme za premotavanje, lijevo, premotaj, strjelica, trokut
⏪	dugme za brzo premotavanje, dupla, premotaj, strjelica
⏮	dugme za vraćanje, prethodna scena, prethodni zapis, strjelica, trokut
🔼	crveno, dugme gore, strjelica, tipka
⏫	dugme brzo gore, dupla, strjelica
🔽	crveno, dolje, dugme dolje, strjelica, tipka
⏬	dolje, dugme brzo dolje, dupla, strjelica
⏸️	dugme pauziraj, duple, pauza, vertikalne
⏹️	dugme zaustavi, kvadrat, stop
⏺️	dugme snimi, krug, snimi
⏏️	dugme izbaci, izbaci
🎦	film, kamera, kino
🔅	dugme zatamni, smanji, svjetlost, zatamni
🔆	dugme posvijetli, posvijetli, svijetlo, svjetlost
📶	antena crtice, baterija, mobitel, signal, signal crtice, telefon
📳	mobitel, način rada, način rada vibracija, telefon, vibracija
📴	isključen, mobilni isključen, mobitel, telefon
♀️	žena, žensko
♂️	muškarac, muško
⚕️	aesculapius, medicina, medicinski simbol, osoblje
♾️	beskonačno, neograničeno, univerzalno
♻️	reciklaža, simbol za reciklažu
⚜	ljiljan
🔱	brod, emblem, sidro, trozubac, trozubac amblem
📛	ime, značka, značka za ime
🔰	japanski, japanski simbol za početnike, list, početnik, zeleno-žuto
⭕️	krug, o, podebljani veliki krug
✅	kvačica, oznaka, podebljana bijela kvačica
☑️	glasačka, glasačka kutija za ispunjene listiće, kutija, kvačica
✔️	kvačica, oznaka, podebljana kvačica
✖️	otkaži, podebljan križić, prekriži, puta, umnoži, x
❌	križić, otkaži, oznaka prekriženo, puta, umnoži
❎	dugme križić, kvadratić, oznaka
➕	matematika, plus, podebljani znak plus
➖	matematika, minus, podebljani znak minus
➗	dijeljenje, matematika, podebljani znak dijeljenja
➰	petlja, rotor, uvrnuta petlja
➿	dupla, dupla uvrnuta petlja, petlja, rotor
〽️	dio, oznaka, oznaka djelimične alteracije
✳️	asterisk
✴️	zvjezdica
❇️	iskra
‼️	bum bum, dupli uzvičnik, interpunkcija, oznaka, uzvik
⁉️	interpunkcija, upit, uzvik, uzvičnik upitnik, čuđenje
❓️	interpunkcija, oznaka, pitanje, upitnik
❔	bijeli upitnik, interpunkcija, ocrtano, oznaka, pitanje
❕	bijeli uzvičnik, interpunkcija, ocrtano, oznaka, uzvik
❗️	interpunkcija, oznaka, uzvik, uzvičnik
〰️	crtice, interpunkcija, talas, talasasta crta
©️	autorska prava, autorsko pravo
®️	registracija, registriran
™️	oznaka, tm, zaštitni znak
#⃣	Kapica za tipku, Kapica za tipku: #
*⃣	Kapica za tipku, Kapica za tipku: *
0⃣	Kapica za tipku, Kapica za tipku: 0
1⃣	Kapica za tipku, Kapica za tipku: 1
2⃣	Kapica za tipku, Kapica za tipku: 2
3⃣	Kapica za tipku, Kapica za tipku: 3
4⃣	Kapica za tipku, Kapica za tipku: 4
5⃣	Kapica za tipku, Kapica za tipku: 5
6⃣	Kapica za tipku, Kapica za tipku: 6
7⃣	Kapica za tipku, Kapica za tipku: 7
8⃣	Kapica za tipku, Kapica za tipku: 8
9⃣	Kapica za tipku, Kapica za tipku: 9
🔟	Kapica za tipku, Kapica za tipku: 10
🔠	latinica, slova, unos, unos latinica veliko slovo, velika
🔡	latinica, mala, slova, unos, unos latinica malo slovo
🔢	1234, brojevi, unos, unos brojeva
🔣	unos, unos simbola
🔤	abc, abeceda, latinica, slova, unos, unos slova latinica
🅰️	a, a tipka, krvna grupa
🆎	ab, ab tipka, krvna grupa
🅱️	b, b tipka, krvna grupa
🆑	cl, cl kvadrat
🆒	cool, cool kvadrat
🆓	besplatno, free kvadrat, sloboda
ℹ️	i, informacija, izvor informacija
🆔	id, id kvadrat, identitet
Ⓜ️	krug, m, slovo m u krugu
🆕	novo, novo kvadrat
🆖	ng, ng kvadrat
🅾️	dugme o, krvna grupa, o
🆗	ok, ok kvadrat
🅿️	dugme p, parking
🆘	pomoć, sos, sos kvadrat
🆙	gore, oznaka, up dugme
🆚	protiv, vs, vs dugme
🈁	Dugme "ovdje" na jap., Dugme sa tekstom "ovdje" na japanskom, japanski
🈂️	Dugme "usluga se naplaćuje" na jap., Dugme sa tekstom "usluga se naplaćuje" na japanskom, japanski
🈷	Dugme "mjesečni iznos" na jap., Dugme sa tekstom "mjesečni iznos" na japanskom, japanski
🈶	Dugme "nije besplatno" na jap., Dugme sa tekstom "nije besplatno" na japanskom, japanski
🈯	Dugme "rezervirano" na jap., Dugme sa tekstom "rezervirano" na japanskom, japanski
🉐	Dugme "vrlo povoljno" na jap., Dugme sa tekstom "vrlo povoljno" na japanskom, japanski
🈹	Dugme "popust" na jap., Dugme sa tekstom "popust" na japanskom, japanski
🈚	Dugme "besplatno" na jap., Dugme sa tekstom "besplatno" na japanskom, japanski
🈲	Dugme "zabranjeno" na jap., Dugme sa tekstom "zabranjeno" na japanskom, japanski
🉑	Dugme "prihvatljivo" na jap., Dugme sa tekstom "prihvatljivo" na japanskom, japanski
🈸	Dugme "prijava" na jap., Dugme sa tekstom "prijava" na japanskom, japanski
🈴	Dugme "prolazna ocjena" na jap., Dugme sa tekstom "prolazna ocjena" na japanskom, japanski
🈳	Dugme "upražnjeno mjesto" na jap., Dugme sa tekstom "upražnjeno mjesto" na japanskom, japanski
㊗️	Dugme "čestitamo" na jap., Dugme sa tekstom "čestitamo" na japanskom, japanski
㊙️	Dugme "tajna" na jap., Dugme sa tekstom "tajna" na japanskom, japanski
🈺	Dugme "otvoreno" na jap., Dugme sa tekstom "otvoreno" na japanskom, japanski
🈵	Dugme "nema upražnjenih mjesta" na jap., Dugme sa tekstom "nema upražnjenih mjesta" na japanskom, japanski
🔴	crveni krug, crveno, geometrija, krug
🟠	krug, narandžasta, narandžasti krug
🟡	krug, žuta, žuti krug
🟢	krug, zelena, zeleni krug
🔵	geometrija, krug, plava, plavi krug
🟣	krug, ljubičasta, ljubičasti krug
🟤	krug, smeđa, smeđi krug
⚫️	crni krug, geometrija, krug
⚪️	bijeli krug, geometrija, krug
🟥	crvena, crveni kvadrat, kvadrat
🟧	kvadrat, narandžasta, narandžasti kvadrat
🟨	kvadrat, žuta, žuti kvadrat
🟩	kvadrat, zelena, zeleni kvadrat
🟦	kvadrat, plava, plavi kvadrat
🟪	kvadrat, ljubičasta, ljubičasti kvadrat
🟫	kvadrat, smeđa, smeđi kvadrat
⬛️	crni veliki kvadrat, geometrija, kvadrat
⬜️	bijeli veliki kvadrat, geometrija, kvadrat
◼️	crni kvadrat, geometrija, kvadrat
◻️	bijeli kvadrat, geometrija, kvadrat
◾️	crni srednje mali kvadrat, geometrija, kvadrat
◽️	bijeli srednje mali kvadrat, geometrija, kvadrat
▪️	crni kvadratić, geometrija, kvadrat
▫️	bijeli kvadratić, geometrija, kvadrat
🔶	geometrija, narandžasto, romb, veliki narandžasti romb
🔷	geometrija, plava, romb, veliki plavi romb
🔸	geometrija, mali narandžasti romb, narandžasta, romb
🔹	geometrija, mali plavi romb, plava, romb
🔺	crveni trokut prema gore, crveno, geometrija
🔻	crveni trokut prema dolje, crveno, dolje, geometrija
💠	geometrija, romb, romb sa tačkom u sredini, tačka, unutra
🔘	geometrija, radio, radio dugme, tipka
🔳	bijeli kvadrat dugme, geometrija, kvadrat, tipka, u okviru
🔲	crni kvadrat dugme, geometrija, kvadrat, tipka
🏁	karirano, utrke, zastavica
🚩	pošta, trokutasta zastava
🎌	japansko, slavlje, ukrštene zastave, ukršteno
🏴	crna zastava, mahanje
🏳️	bijela zastava, mahanje
🏳‍🌈	duga, zastava, zastava duginih boja
🏴‍☠	blago, jolly roger, pirati, piratska zastava, pljačka
🇦🇨	Zastava, Zastava: Ostrvo Ascension
🇦🇩	Zastava, Zastava: Andora
🇦🇪	Zastava, Zastava: Ujedinjeni Arapski Emirati
🇦🇫	Zastava, Zastava: Afganistan
🇦🇬	Zastava, Zastava: Antigva i Barbuda
🇦🇮	Zastava, Zastava: Angvila
🇦🇱	Zastava, Zastava: Albanija
🇦🇲	Zastava, Zastava: Armenija
🇦🇴	Zastava, Zastava: Angola
🇦🇶	Zastava, Zastava: Antarktika
🇦🇷	Zastava, Zastava: Argentina
🇦🇸	Zastava, Zastava: Američka Samoa
🇦🇹	Zastava, Zastava: Austrija
🇦🇺	Zastava, Zastava: Australija
🇦🇼	Zastava, Zastava: Aruba
🇦🇽	Zastava, Zastava: Olandska ostrva
🇦🇿	Zastava, Zastava: Azerbejdžan
🇧🇦	Zastava, Zastava: Bosna i Hercegovina
🇧🇧	Zastava, Zastava: Barbados
🇧🇩	Zastava, Zastava: Bangladeš
🇧🇪	Zastava, Zastava: Belgija
🇧🇫	Zastava, Zastava: Burkina Faso
🇧🇬	Zastava, Zastava: Bugarska
🇧🇭	Zastava, Zastava: Bahrein
🇧🇮	Zastava, Zastava: Burundi
🇧🇯	Zastava, Zastava: Benin
🇧🇱	Zastava, Zastava: Sveti Bartolomej
🇧🇲	Zastava, Zastava: Bermuda
🇧🇳	Zastava, Zastava: Brunej
🇧🇴	Zastava, Zastava: Bolivija
🇧🇶	Zastava, Zastava: Karipska Holandija
🇧🇷	Zastava, Zastava: Brazil
🇧🇸	Zastava, Zastava: Bahami
🇧🇹	Zastava, Zastava: Butan
🇧🇻	Zastava, Zastava: Ostrvo Buve
🇧🇼	Zastava, Zastava: Bocvana
🇧🇾	Zastava, Zastava: Bjelorusija
🇧🇿	Zastava, Zastava: Belize
🇨🇦	Zastava, Zastava: Kanada
🇨🇨	Zastava, Zastava: Kokosova (Keelingova) ostrva
🇨🇩	Zastava, Zastava: Demokratska Republika Kongo
🇨🇫	Zastava, Zastava: Centralnoafrička Republika
🇨🇬	Zastava, Zastava: Kongo
🇨🇭	Zastava, Zastava: Švicarska
🇨🇮	Zastava, Zastava: Obala Slonovače
🇨🇰	Zastava, Zastava: Kukova ostrva
🇨🇱	Zastava, Zastava: Čile
🇨🇲	Zastava, Zastava: Kamerun
🇨🇳	Zastava, Zastava: Kina
🇨🇴	Zastava, Zastava: Kolumbija
🇨🇵	Zastava, Zastava: Ostrvo Kliperton
🇨🇷	Zastava, Zastava: Kostarika
🇨🇺	Zastava, Zastava: Kuba
🇨🇻	Zastava, Zastava: Kape Verde
🇨🇼	Zastava, Zastava: Kurasao
🇨🇽	Zastava, Zastava: Božićno ostrvo
🇨🇾	Zastava, Zastava: Kipar
🇨🇿	Zastava, Zastava: Češka
🇩🇪	Zastava, Zastava: Njemačka
🇩🇬	Zastava, Zastava: Dijego Garsija
🇩🇯	Zastava, Zastava: Džibuti
🇩🇰	Zastava, Zastava: Danska
🇩🇲	Zastava, Zastava: Dominika
🇩🇴	Zastava, Zastava: Dominikanska Republika
🇩🇿	Zastava, Zastava: Alžir
🇪🇦	Zastava, Zastava: Seuta i Melilja
🇪🇨	Zastava, Zastava: Ekvador
🇪🇪	Zastava, Zastava: Estonija
🇪🇬	Zastava, Zastava: Egipat
