😀	դեմք, ծիծաղող դեմք, քմծիծաղել
🎏	կարպ, կարպերի տեսքով նավադրոշ, նավադրոշ, տոն
🎐	զանգ, տոն, քամի, քամու զանգակ
🎑	լուսին, լուսնի ծես, ծես, տոն
🧧	կարմիր ծրար, հաջողություն, հոնգբաո, նվեր, փող
🎀	ժապավեն, տոն, տոնակատարություն
🎁	արկղ, նվեր, տոն, փաթեթավորված, փաթեթավորված նվեր
🎗️	ժապավեն, հուշ, հուշաժապավեն, տոն
🎟️	մուտք, մուտքի տոմս, տոմս
🎫	մուտք, տոմս
🎖️	մեդալ, ռազմական, ռազմական մեդալ, տոն
🏆️	գավաթ, մրցանակ
🏅	մեդալ, սպորտային մեդալ
🥇	առաջին, մեդալ, ոսկե մեդալ, ոսկի
🥈	արծաթ, արծաթե մեդալ, երկրորդ, մեդալ
🥉	բրոնզ, բրոնզե մեդալ, երրորդ, մեդալ
⚽️	գնդակ, ֆուտբոլ, ֆուտբոլի գնդակ
⚾️	բեյսբոլի գնդակ, գնդակ
🥎	գնդակ, թևատակ, ձեռնոց, սոֆթբոլ
🏀	բասկետբոլ, բասկետբոլի գնդակ, գնդակ
🏐	գնդակ, խաղ, վոլեյբոլի գնդակ
🏈	ամերիկյան, ամերիկյան ֆուտբոլի գնդակ, գնդակ, ֆուտբոլ
🏉	գնդակ, ռեգբի, ռեգբիի գնդակ, ֆուտբոլ
🎾	գնդակ, թենիս, թենիսի գնդակ, մեծ
🥏	թռչող ափսե, թռչող սկավառակ, նետել, սկավառակ
🎳	բոուլինգ, գնդակ, խաղ
🏏	բիտա, գնդակ, խաղ, կրիկետ
🏑	գնդակ, դաշտ, խաղ, խոտի հոկեյ, հոկեյ, մական
🏒	խաղ, հոկեյ, մական, մական և տափօղակ, սառույց, տափօղակ
🥍	գնդակ, թիրախ, լաքրոս, փայտ
🏓	բիտա, գնդակ, խաղ, ձեռնաթիակ, ռակետ, սեղանի թենիս
🏸	բադմինտոն, խաղ, ձեռնաթիակ, ռակետ, վոլան, փետրագնդակ
🥊	բոքս, բռնցքամարտ, բռնցքամարտի ձեռնոց, սպորտ
🥋	այկիդո, կարատե, կիմոնո, համազգեստ, մարտարվեստ, մարտարվեստի համազգեստ, սպորտ
🥅	գոլ, նպատակ, սպորտ, ֆուտբոլի դարպաս
⛳️	անցք, գոլֆ, գոլֆի դրոշակ
⛸️	չմուշկ, սառույց
🎣	կարթ, կարթաձող, ձուկ
🤿	դայվինգ, ջրադիմակ, սուզում, ստորջրյա լող
🎽	ժապավեն, շապիկ, պտտվող, պտտվող շապիկ
🎿	դահուկ, դահուկներ, ձյուն
🛷	սահնակ
🥌	խաղ, քար, քյորլինգի քար
🎯	դարթ, դիպուկ հարված, թիրախ, խաղ, կենտրոն, հարվածել, նշանակետ
🪀	խաղալիք, ճոճվող, յո-յո
🪁	թռչել, սավառնել, օդապարուկ
🎱	8, բիլիարդ, գնդակ, խաղ, ութ
🔮	բախտ, բյուրեղ, բյուրեղյա գունդ, գործիք, գունդ, հեքիաթ, ֆանտազիա
🧿	աչքաուլունք, աչքի ուլունք, թալիսման, համայիլ, ուլունք
🎮️	խաղ, վահանակ, տեսախաղ
🕹️	խաղ, ջոյսթիք, տեսախաղ
🎰	ավտոմատ, խաղ, խաղային ավտոմատ
🎲	զառ, խաղ
🧩	գլուխկոտրուկ, կտոր, փազլ, փազլի կտոր
🧸	խաղալիք, փափուկ, փափուկ արջուկ
♠️	թղթախաղ, խաղ, ղառ
♥️	թղթախաղ, խաղ, սիրտ, սրտեր
♦️	թղթախաղ, խաղ, քյափ
♣️	թղթախաղ, խաղ, խաչ
♟️	զինվոր, շախմատ, շախմատի զինվոր, ֆիգուր
🃏	թղթախաղ, խաղ, խաղալ, ջոկեր
🀄️	խաղ, կարմիր, մաջոնգ, մաջոնգի կարմիր վիշապ
🎴	թղթախաղ, խաղ, խաղալ, ծաղիկ, ծաղկի խաղաթղթեր, ճապոնական
🎭️	արվեստ, դիմակ, թատրոն, կատարողական արվեստ, ներկայացում
🖼️	արվեստ, թանգարան, նկար, նկարչություն, շրջանակ, շրջանակ նկարով
🎨	արվեստ, թանգարան, ներկապնակ, նկարչություն
🧵	ասեղ, թել, կար, կոճ
🧶	բրդաթել, թել, կծիկ, հելուն, մանվածք
👓️	ակնոց, աչք, հագուստ
🕶️	ակնոց, աչք, արևային ակնոց, մուգ
🥽	աչքերի պաշտպանություն, զոդում, լող, պաշտպանիչ ակնոց
🥼	բժիշկ, գիտնական, սպիտակ խալաթ, փորձարկում
🦺	անվտանգություն, արտակարգ իրավիճակ, բաճկոն, փրկաբաճկոն, փրկություն
👔	հագուստ, փողկապ
👕	հագուստ, սպորտային, սպորտային վերնաշապիկ, վերնաշապիկ
👖	հագուստ, շալվար, ջինս, տաբատ
🧣	պարանոց, վզկապ
🧤	ձեռնոցներ, ձեռք
🧥	բաճկոն, վերարկու
🧦	գուլպաներ, զուգագուլպա
👗	զգեստ, հագուստ
👘	կիմոնո, հագուստ
🥻	զգեստ, հագուստ, սարի
🩱	լողազգեստ, միակտոր լողազգեստ
🩲	անդրավարտիք, լողազգեստ, լողավարտիք, ներքնազգեստ
🩳	լողավարտիք, ներքնազգեստ, շորտեր, վարտիք, տաբատ
👙	բիկինի, լողալ, հագուստ
👚	կին, կնոջ հագուստ, հագուստ
👛	դրամապանակ, հագուստ, մետաղադրամ
👜	հագուստ, ձեռքի պայուսակ, պայուսակ
👝	հագուստ, պայուսակ
🛍️	գնումներ, գնումների պայուսակ, հյուրանոց, պայուսակ
🎒	դպրոց, դպրոցական պայուսակ, ուսապարկ, պայուսակ
👞	կոշիկ, հագուստ, տղամարդ, տղամարդու կոշիկ
👟	կեդեր, կոշիկ, հագուստ, մարզական, սպորտային կոշիկ
🥾	արշավ, արշավային կոշիկ, զբոսաշրջություն, կոշիկ
🥿	բալետի կոշիկ, լոֆեր, հողաթափ, տափակ կոշիկ
👠	բարձրակրունկ կոշիկ, կին, կոշիկ, կրունկ, հագուստ
👡	կին, կնոջ սանդալ, կոշիկ, հագուստ, սանդալ
🩰	բալետ, բալետի կոշիկ, պար
👢	երկարաճիթք կոշիկ, կին, կնոջ երկարաճիթք կոշիկ, կոշիկ, հագուստ
👑	արքա, թագ, թագուհի, հագուստ
👒	գլխարկ, կին, կնոջ գլխարկ, հագուստ
🎩	գլխարկ, հագուստ, ցիլինդր
🎓️	ավարտական, գլխարկ, հագուստ, շրջանավարտի գլխարկ, տոն
🧢	բեյսբոլ, բեյսբոլի գլխարկ, գլխարկ
⛑️	գլխարկ, դեմք, խաչ, սաղավարտ, սպիտակ խաչով սաղավարտ, օգնություն
📿	աղոթք, կրոն, հագուստ, ուլունքներ, վզնոց, տերողորմյա
💄	դիմահարդարում, կոսմետիա, շրթներկ
💍	ադամանդ, մատանի, սիրավեպ
💎	ադամանդ, ակն, գոհար, թանկարժեք քար, սիրավեպ
🔇	անջատել ձայնը, բարձրախոս, բարձրախոսն անջատված է, լուռ, հանգիստ, ձայն
🔈️	բարձրախոս, ձայն, ձայնի ուժգնություն
🔉	ալիք, բարձրախոս, բարձրախոսը միացված է, ձայն, ցածր
🔊	3, բարձր, բարձրախոս, բարձրախոսի ձայնը բարձր է, բարձրաձայն, երեք, ձայն
📢	բարձրաձայն, հասարակական, մեծ բարձրախոս
📣	մեգաֆոն, ոգևորում
📯	եղջյուր, փոստ, փոստային, փոստային եղջյուր
🔔	զանգ
🔕	անջատել ձայնը, արգելված, զանգակ, զանգակ շեղ գծիկով, լուռ, հանգիստ, ոչ
🎼	երաժշտություն, սոլի բանալի
🎵	երաժշտություն, նոտա
🎶	երաժշտություն, նոտա, նոտաներ
🎙️	երաժշտություն, խոսափող, ստուդիա, ստուդիայի խոսափող
🎚️	երաժշտություն, ձայնի բարձրության սահոց, մակարդակ, սահոց
🎛️	երաժշտություն, կառավարել, կառավարման կոճակներ, կոճակներ
🎤	խոսափող, կարաոկե
🎧️	ականջակալ
📻️	ռադիո, վիդեո
🎷	գործիք, երաժշտություն, սաքսոֆոն
🎸	գործիք, երաժշտություն, կիթառ
🎹	գործիք, դաշնամուր, երաժշտական ստեղնաշար, երաժշտություն, ստեղնաշար
🎺	գործիք, երաժշտություն, շեփոր
🎻	գործիք, երաժշտություն, ջութակ
🪕	բանջո, երաժշտություն, լարային
🥁	երաժշտություն, թմբուկ
📱	բջջային, բջջային հեռախոս, հեռախոս, շարժական
📲	բջջային, բջջային հեռախոս սլաքով, զանգել, հեռախոս, շարժական, սլաք
☎️	հեռախոս
📞	լսափող, հեռախոս, հեռախոսի լսափող
📟️	փեյջեր
📠	ֆաքս, ֆաքսի մեքենա
🔋	մարտկոց
🔌	էլեկտրական, էլեկտրական խրոց, էլեկտրականություն, խրոց
💻️	անձնական, համակարգիչ, նոթբուք
🖥️	համակարգիչ
🖨️	համակարգիչ, տպիչ
⌨️	համակարգիչ, ստեղնաշար
🖱️	3, երեք, կոճակ, համակարգիչ, համակարգչի մկնիկ, մկնիկ
🖲️	թրեքբոլ, համակարգիչ
💽	համակարգիչ, մինի սկավառակ, սկավառակ, օպտիկական
💾	համակարգիչ, սկավառակ, ֆլոպի, ֆլոպի սկավառակ
💿️	blu-ray, cd, dvd, համակարգիչ, սկավառակ, օպտիկական, օպտիկական սկավառակ
📀	DVD, blu-ray, cd, համակարգիչ, սկավառակ, օպտիկական
🧮	հաշվիչ
🎥	ժապավենային տեսախցիկ, կինո, տեսախցիկ, ֆիլմ
🎞️	ժապավեն, կադր, կինո, տեսաժապավեն, ֆիլմ
📽️	ժապավեն, ժապավենային պրոյեկտոր, կինո, պրոյեկտոր, վիդեո, ֆիլմ
🎬️	կինոդուբլ, կինոդուբլների համարացույց, ֆիլմ
📺️	tv, հեռուստացույց, վիդեո
📷️	վիդեո, ֆոտոապարատ
📸	լուսաթարթիչ, վիդեո, ֆոտոապարատ, ֆոտոապարատ լուսաթարթիչով
📹️	վիդեո, տեսախցիկ
📼	vhs, երիզ, վիդեո, տեսաերիզ
🔍	ապակի, գործիք, խոշորացնող, ձախ ուղղված խոշորացույց, որոնել
🔎	ապակի, աջ ուղղված խոշորացույց, գործիք, խոշորացնող, որոնել
🕯️	լույս, մոմ
💡	գաղափար, էլեկտրական, էլեկտրական լամպ, լամպ, լույս, կոմիքս
🔦	գործիք, գրպանի լապտեր, էլեկտրական, լապտեր, լույս
🏮	բար, թղթե կարմիր լապտեր, լապտեր, լույս, կարմիր, ճապոնական
🪔	դիյա, դիյա լամպ, լամպ, յուղ
📔	գիրք, կազմ, ձևավոր կազմով տետր, ձևավորված, նոթատետր
📕	գիրք, փակված, փակված գիրք
📖	բացված, բացված գիրք, գիրք
📗	գիրք, կանաչ, կանաչ գիրք
📘	գիրք, կապույտ, կապույտ գիրք
📙	գիրք, նարնջագույն, նարնջագույն գիրք
📚️	գիրք, գրքեր
📓	տետր
📒	հաշվապահական մատյան, նոթատետր
📃	էջ, կլորացած, կլորացած էջ, փաստաթուղթ
📜	գալարաթուղթ, թուղթ
📄	էջ, փաստաթութղ
📰	թերթ, լրագիր, նորություններ
🗞	թերթ, լրագիր, կլորացրած, կլորացրած լրագիր, նորություններ
📑	էջանիշ, էջանիշ ներդիրներ, ներդիր, նշել, նշիչ
🔖	էջանիշ, նշել
🏷️	պիտակ
💰️	դոլար, պարկ, փող, փողի պարկ
💴	բանկ, թղթադրամ, իեն, իեն թղթադրամ, տարադրամ, փող
💵	բանկ, դոլար, դոլար թղթադրամ, թղթադրամ, տարադրամ, փող
💶	բանկ, եվրո, եվրո թղթադրամ, թղթադրամ, տարադրամ, փող
💷	բանկ, թղթադրամ, տարադրամ, փող, ֆունտ, ֆունտ թղթադրամ
💸	բանկ, դոլար, թղթադրամ, թռչել, թևեր, փող, փող թևերով
💳️	բանկ, պլաստիկ քարտ, վարկ, փող, քարտ
🧾	անդորրագիր, ապացույց, հաշվապահություն, վկայություն
💹	աճ, աճող դիագրամ իենով, բանկ, բարձրանալ, գրաֆիկ, դիագրամ, իեն, միտում, շուկա, վերև, տարրադրամ, փող
💱	բանկ, տարադրամ, տարադրամի փոխանակում, փոխանակում, փող
💲	դոլար, դոլարի թավ նշան, տարադրամ, փող
✉️	էլփոտ, ծրար, նամակ
📧	էլեկտրոնային նամակ, էլփոստ, նամակ, փոստ
📨	էլփոստ, ծրար, նամակ, ստանալ, ստացվող, ստացվող ծրար, փոստ
📩	էլփոստ, ծրար, ծրար սլաքով, նամակ, ներքև, ուղարկված, ուղարկվող, սլաք, փոստ
📤️	արկղ, դարակ, ելքի արկղ, նամակ, ուղարկված, փոստ
📥️	արկղ, դարակ, մուտքի արկղ, նամակ, ստանալ, փոստ
📦️	արկղ, ծանրոց
📫️	փակ, փակ փոստարկղ բարձրացված դրոշակով, փոստ, փոստատուփ, փոստարկղ
📪️	իջեցված, փակ, փակ փոստարկղ իջեցված դրոշակով, փոստ, փոստատուփ, փոստարկղ
