😀	seja, smaids, smiekli
🏐	bumba, sports, volejbola bumba, volejbols
🏈	amerikāņu futbola bumba, amerikāņu futbols, bumba, sports
🏉	bumba, regbija bumba, regbijs, sports
🎾	bumba, sports, tenisa bumbiņa, teniss
🥏	galīgs, lidojošais šķīvis
🎳	boulings, bumba, sports, spēle
🏏	bumba, krikets, nūja
🏑	bumba, hokejs, lauka hokejs, nūja, sports
🏒	hokejs, hokejs uz ledus, nūja, ripa, sports
🥍	bumba, lakross, mērķis, nūja
🏓	bumbiņa, galda teniss, pingpongs, rakete
🏸	badmintons, rakete, volāns
🥊	boksa cimds, bokss, cimds, sports
🥋	cīņas māksla, cīņu sporta tērps, džudo, karatē, kimono, sports, taekvondo, tērps
🥅	sports, tīkls, vārti, vārti ar tīklu
⛳️	bedrīte, golfs, karodziņš bedrītē
⛸️	ledus, slida
🎣	makšķere, zivs
🤿	elpošanas aparāts, niršana, niršanas maska, snorkelēšana
🎽	krekls, skriet, skriešanas krekls
🎿	slēpes, sniegs
🛷	kamanas, kamaniņas
🥌	akmens, kērlinga akmens, spēle
🎯	mērķis, šautriņa, šautriņa mērķī
🪀	jojo, rotaļlieta, svārstīgs
🪁	gaisa pūķis, lidot, pacelties
🎱	8, astoņi, biljarda bumbiņa, biljards, spēle
🔮	kristāla lode, kristāls, lode, pareģot, zīlēt
🧿	krelle, nazars, piekariņš, talismans, ļaunas acs amulets, ļaunā acs
🎮️	konsole, videospēle
🕹️	kursorsvira, spēle, videospēle
🎰	automāts, spēle, spēļu automāts
🎲	galda spēle, kauliņš, metamais kauliņš
🧩	attēlu mīkla, gabaliņš, līme, puzle, puzles gabaliņš, savienošana
🧸	lāčuks, manta, pildīts, plīšs, rotaļlieta
♠️	kārtis, pīķis
♥️	ercens, kārtis
♦️	kāravs, kārtis
♣️	kreicis, kārtis
♟️	bandinieks, kopija, lietojams, šahs
🃏	džokers, kārtis
🀄️	Mahjong kauliņš, sarkanais pūķis, mahjong, sarkans, spēle
🎴	japāņu, kārtis, spēle, ziedu kārtis
🎭️	maska, māksla, skatuves māksla, teātris
🖼️	glezna, ierāmēta glezna, muzejs, māksla, rāmis, rāmis ar gleznu
🎨	glezna, gleznotāja palete, māksla, palete
🧵	adata, pavediens, spolīte, šūšana
🧶	adīt, dzija, kamoliņš, tambrorējums
👓️	acis, brilles
🕶️	acis, brilles, saulesbrilles
🥽	acu aizsardzība, aizsargbrilles, metināšana, peldēšana
🥼	eksperiments, laboratorijas halāts, zinātnieks, ārsts
🦺	drošība, drošības veste, veste, ārkārtas
👔	apģērbs, drēbes, kaklasaite
👕	apģērbs, drēbes, t krekls
👖	apģērbs, bikses, drēbes, džinsi
🧣	kakls, šalle
🧤	cimdi, roka
🧥	jaka, mētelis
🧦	zeķbikses, zeķes
👗	apģērbs, kleita
👘	apģērbs, kimono
🥻	apģērbs, kleita, sari
🩱	kopējais peldkostīms, peldkostīms
🩲	apakšveļa, peldbikses, peldkostīms, peldēšanās tērps, viengabala
🩳	apakšveļa, bikses, peldkostīms, šorti
👙	apģērbs, bikini, peldēt
👚	apģērbs, sieviešu, sieviešu drēbes
👛	maks, monētas, nauda, naudasmaks
👜	rokassoma, soma
👝	apģērbs, kosmētikas maciņš, maisiņš, soma
🛍️	iepirkumu maisiņi, iepirkumu somas, maisiņš, soma
🎒	mugursoma, skola, skolas mugursoma, soma
👞	apavi, vīriešu, vīriešu kurpe
👟	apavi, skriešanas apavi, skriešanas kurpe, sports
🥾	kempings, mugursoma, pārgājiens, pārgājienu zābaks, zābaks
🥿	baleta kurpe, iešļūcene, čība
👠	apavi, augstpapēžu kurpe, papēdis, sieviešu
👡	apavi, sandale, sieviešu, sieviešu sandale
🩰	baleta kurpes, balets, deja
👢	apavi, sieviešu, sieviešu zābaks, zābaks
👑	karaliene, karalis, kronis
👒	cepure, platmale, sieviešu cepure
🎩	apģērbs, cepure, cilindrs
🎓️	cepure, izlaiduma cepure, izlaidums, svinības
🧢	beisbola cepure, cepure ar nagu
⛑️	glābēja ķivere, krusts, palīdzība, ķivere
📿	kaklarota, krelles, lūgšana, lūgšanu krelles, reliģija
💄	kosmētika, lūpas, lūpukrāsa
💍	dimants, dārgakmens, gredzens, romantika
💎	dimants, dārgakmens, dārglieta
🔇	bez skaņas, izslēgts, izslēgts skaļrunis, kluss, klusums, skaļrunis, skaļums
🔈️	kluss, mazs skaļruņa skaļums, skaļrunis
🔉	ieslēgts skaļrunis, vidējs, vidējs skaļruņa skaļums
🔊	skaļrunis, skaļums, skaļš, skaļš skaļrunis
📢	pastiprinātājs, skaļrunis, skaļš
📣	rupors, skaļš
📯	pastnieka taure, pastnieks, taure
🔔	zvans
🔕	aizliegts, bez skaņas, klusums, pārsvītrots zvaniņš, zvaniņš
🎼	mūzika, notis, nošu līnijas
🎵	mūzika, nots
🎶	mūzika, notis
🎙️	mikrofons, studija, studijas mikrofons
🎚️	skaļuma slīdnis, skaļums, slēdzis
🎛️	mūzika, slēdži
🎤	karaoke, mikrofons
🎧️	austiņas, mūzika
📻️	radio, video
🎷	instruments, mūzika, saksofons
🎸	instruments, mūzika, ģitāra
🎹	instruments, klaviatūra, klavieres, klavieru taustiņi, mūzika
🎺	instruments, mūzika, taure, trompete
🎻	instruments, mūzika, vijole
🪕	bandžo, mūzika, stīgu
🥁	bungas, bungu vālītes, mūzika
📱	mobilais, mobilais tālrunis, telefons, tālrunis
📲	bultiņa, mobilais, mobilais tālrunis ar bultiņu, telefons, tālrunis
☎️	telefons, tālrunis
📞	klausule, telefons, tālrunis, tālruņa klausule
📟️	peidžers
📠	fakss
🔋	baterija
🔌	elektrība, kontaktdakša, spraudnis
💻️	dators, klēpjdators
🖥️	dators, galddators
🖨️	dators, printeris
⌨️	dators, tastatūra
🖱️	datorpele, dators, pele
🖲️	dators, kursorbumba
💽	dators, minidisks
💾	dators, diskete
💿️	CD, DVD, blu-ray, dators, kompaktdisks, optiskais disks
📀	CD, DVD, blu-ray, dators, dvd, kompaktdisks
🧮	skaitīkļi, skaitīšana
🎥	filma, kamera, kino, kinokamera
🎞️	filma, filmas lente, kino, lente
📽️	filma, filmu projektors, kino, projektors
🎬️	filma, klapīte
📺️	TV, televizors
📷️	fotoaparāts, fotokamera, kamera
📸	fotoaparāts, fotokamera, fotokamera ar zibspuldzi, kamera, zibspuldze
📹️	kamera, videokamera
📼	VHS, kasete, videokasete
🔍	lupa, pa kreisi vērsta lupa, palielināt
🔎	lupa, pa labi vērsta lupa, palielināt
🕯️	svece, uguns
💡	elektrība, gaisma, spuldze
🔦	elektrība, gaisma, kabatas lukturītis
🏮	bārs, japāņu, laterna, papīrs, sarkana papīra laterna, sarkans
🪔	eļļa, eļļas lampa, lampa
📔	bloknots, bloknots ar dekoratīvu vāku, grāmata
📕	aizvērta, aizvērta grāmata, grāmata
📖	atvērta, atvērta grāmata, grāmata
📗	grāmata, zaļa, zaļa grāmata
📘	grāmata, zila, zila grāmata
📙	grāmata, oranža, oranža grāmata
📚️	grāmata, grāmatas
📓	piezīmju grāmata
📒	grāmata, grāmata ar spirāli, spirāle
📃	dokuments, lapa, lapa ar atliektu malu
📜	papīra tīstoklis, papīrs
📄	dokuments, papīra lapa, papīrs
📰	avīze, laikraksts, ziņas
🗞	avīze, laikraksts, satīta avīze, satīts, ziņas
📑	grāmatzīme, līmkarodziņi
🔖	grāmatzīme, zīme
🏷️	atzīme
💰️	dolārs, maiss, nauda, naudas maiss
💴	banknote, jena, jenas banknote, nauda
💵	banknote, dolāra banknote, dolārs, nauda
💶	banknote, eiro, eiro banknote, nauda
💷	banknote, nauda, sterliņu mārciņa, sterliņu mārciņas banknote
💸	banknote, banknote ar spārniem, lidot, nauda, spārni
💳️	kredītkarte, nauda
🧾	apstiprinājums, grāmatvedība, kvīts, pierādījums, uzskaite
💹	augšup, augšupejoša diagrammas līkne ar jenas simbolu, diagramma, jena, līkne, tirgus
💱	banka, maiņa, nauda, valūta, valūtas maiņa
💲	dolāra zīme, dolārs, nauda
✉️	aploksne, e-pasts, vēstule
📧	aploksne, e-pasts, vēstule
📨	aploksne, e-pasts, ienākoša aploksne, saņemt, vēstule
📩	aploksne, aploksne ar bultiņu, bultiņa, e-pasts, sūtīt, vēstule
📤️	dokuments, izejošo dokumentu paliktnis, kaste, pasts, sūtīt
📥️	dokuments, ienākošo dokumentu paliktnis, kaste, pasts, saņemt
📦️	kaste, paciņa, paka
📫️	aizvērta, aizvērta pastkaste ar paceltu karodziņu, pastkaste, pasts
📪️	aizvērta, aizvērta pastkaste ar nolaistu karodziņu, pastkaste, pasts
📬️	atvērta, atvērta pastkaste ar paceltu karodziņu, pastkaste, pasts
📭️	atvērta, atvērta pastkaste ar nolaistu karodziņu, pastkaste, pasts
📮	pastkaste, pasts
🗳️	urna, vēlēšanas, vēlēšanu urna ar vēlēšanu zīmi
✏️	zīmulis
✒️	melna rakstāmspalva, rakstāmspalva, spalva
🖋️	pildspalva, tuša, tušas pildspalva
🖊️	lodīšu pildspalva, pildspalva
🖌️	gleznot, ota
🖍️	krītiņš
📝	paziņojums, zīmulis
💼	portfelis, soma
📁	dokuments, dokumentu mape, mape
📂	atvērta dokumentu mape, atvērts, dokuments, mape
🗂️	dokuments, dokumentu sadalītājs, kartīte, sadalītājs
📅	datums, kalendārs
📆	datums, kalendārs, noplēšamais kalendārs
🗒️	bloknots, bloknots ar spirāli, piezīmes, spirāle
🗓️	kalendārs, kalendārs ar spirāli, spirāle
📇	kartīte, kartīšu rādītājs, rādītājs
📈	augšup, augšupejoša diagrammas līkne, diagramma, līkne
📉	diagramma, lejup, lejupejoša diagrammas līkne, līkne
📊	diagramma, josla, joslu diagramma
📋️	dokuments, dokumentu paliktnis, paliktnis
📌	piespraude
📍	apaļa spraudīte, apaļš, spraudīte
📎	papīra saspraude, saspraude
🖇️	saspraude, savienotas saspraudes
📏	lineāls, taisns lineāls
📐	lineāls, trīsstūra lineāls
✂️	griezt, šķēres
🗃️	dokuments, dokumentu kaste, kaste
🗄️	dokuments, dokumentu skapis, skapis
🗑️	atkritumi, atkritumu grozs, grozs, miskaste
🔒️	aizslēgts, slēdzene
🔓️	atslēgta, atvērta slēdzene, piekaramā atslēga, slēdzene
🔏	konfidencialitāte, rakstāmspalva, slēdzene, slēdzene ar rakstāmspalvu
🔐	aizvērta slēdzene ar atslēgu, atslēga, drošs, slēdzene
🔑	atslēga, parole
🗝️	atslēga, veca atslēga
🔨	darbarīks, āmurs
🪓	cirvis, koks, skaida, skaldīt
⛏️	cirst, cirtnis
⚒️	cirtnis, āmurs, āmurs un cirtnis
🛠️	cirtnis, uzgriežņu atslēga, āmurs, āmurs un uzgriežņu atslēga
🗡️	duncis, ierocis, nazis
⚔️	ierocis, sakrustoti zobeni, sakrustots, zobens
🔫	ierocis, pistole, revolveris, šaujamierocis
🏹	bulta, ierocis, loks, loks un bulta, strēlnieks
🛡️	ierocis, vairogs
🔧	darbarīks, uzgriežņu atslēga
🔩	skrūve, skrūve un uzgrieznis, tapa, uzgrieznis
⚙️	darbarīks, zobrats
🗜️	saspiest, skrūvspīles
⚖️	Svari, līdzsvars, svari, svars, taisnīgums, zodiaks
🦯	akls, baltais atbalsta spieķis, pieejamība
🔗	ķēde, ķēdes posms
⛓️	ķēde, ķēdes
🧰	darbarīku kaste, kaste, mehānisks, rīks
🧲	magnētisks, magnēts, pakavs, pievilkšana
⚗️	destilēšanas aparāts, mēģene, ķīmija
🧪	eksperiments, laboratorija, mēģene, zinātne, ķīmija, ķīmiķis
🧫	Petri trauks, baktērija, biologs, bioloģija, kultūra, laboratorija
🧬	DNS, biologs, dzīve, evolūcija, gēns, ģenētika
🔬	mikroskops, palielināt
🔭	palielināt, teleskops
📡	antena, satelīta šķīvis, satelīts, šķīvis
💉	adata, medicīna, slims, ārsts, šļirce
🩸	asins pile, asins ziedošana, medicīna, menstruācija
💊	medicīna, slims, zāles, zāļu kapsula, ārsts
🩹	plāksteris
🩺	medicīna, sirds, stetoskops, ārsts
🚪	durvis, ieeja, izeja
🛏️	gulta, gulēt, viesnīca
🛋️	dīvāns, dīvāns un lampa, lampa
🪑	krēsls, sēdeklis, sēdēt
🚽	pods, tualete, tualetes pods
🚿	duša, ūdens
🛁	vanna, ūdens
🪒	ass, bārdas nazis, skūt
🧴	losjona pudele, losjons, mitrinātājs, sauļošanās krēms, šampūns
🧷	autiņi, autiņu soma, saspraude
🧹	slaucīšana, slota, tīrīšana
🧺	grozs, lauksaimniecība, pikniks, veļas mazgātuve
🧻	papīra dvieļi, papīra rullis, tualetes papīrs
🧼	tīrīšana, vannošana, ziepes, ziepju putas, ziepju trauks
🧽	porains, sūklis, tīrīšana, uzsūkšana
🧯	apdzēst, dzēst, uguns, ugunsdzēsības aparāts
🛒	iepirkumu ratiņi, iepirkšanās, ratiņi, veikals
🚬	aizdegta cigarete, cigarete, smēķēt
⚰️	bēres, nāve, zārks
⚱️	bēres, nāve, pelnu urna, urna
🗿	Lieldienu salu statuja, galva, moai, statuja
🏧	ATM, bankomāta zīme, bankomāts, nauda
🚮	atkritumi, atkritumu urnas zīme, urna
🚰	dzeramais ūdens, dzert, ūdens
♿️	piekļūt, ratiņkrēsls
🚹️	WC, tualete, vīriešu, vīriešu tualete
🚺️	WC, sieviešu, sieviešu tualete, tualete
🚻	WC, tualete
🚼️	pārtīt, zīdainis, zīdaiņa simbols
🚾	WC, ateja, tualete
🛂	kontrole, pase, pasu kontrole
🛃	muitas
🛄	bagāža, bagāžas saņemšana
🛅	bagāža, bagāžas glabātava, glabāt
⚠️	brīdinājums
🚸	bērni, bērni šķērso ielu, gājēji, pāreja, satiksme
⛔️	aizliegts, iebraukt aizliegts, ieeja, nedrīkst, nē, satiksme
🚫	aizliegts, ieeja, nedrīkst, nē
🚳	aizliegts, nedrīkst, nē, ritenis, velosipēdi aizliegti, velosipēds
🚭️	aizliegts, nedrīkst, nē, smēķēt, smēķēt aizliegts
🚯	aizliegts, atkritumi, atkritumus mest aizliegts, nedrīkst, nē
🚱	aizliegts, dzert, nav dzeramais ūdens, nedrīkst, nē, ūdens
🚷	aizliegts, gājēji, gājējiem iet aizliegts, kājāmgājēji, nedrīkst, nē
📵	aizliegts, mobilais, mobilie tālruņi aizliegti, nedrīkst, nē, telefons, tālrunis
🔞	18, aizliegts, astoņpadsmit, nedrīkst, nepilngadīgs, nē, tikai no 18 gadu vecuma
☢️	bīstami, radioaktīvs
☣️	bioloģiskais apdraudējums, bīstami
⬆️	augšupvērsta bultiņa, bultiņa, norāde, ziemeļi
↗️	bultiņa, norāde, uz augšējo labo stūri vērsta bultiņa, ziemeļaustrumi
➡️	austrumi, bultiņa, norāde, pa labi vērsta bultiņa
↘️	bultiņa, dienvidaustrumi, norāde, uz apakšējo labo stūri vērsta bultiņa
⬇️	bultiņa, dienvidi, lejupvērsta bultiņa, norāde
↙️	bultiņa, dienvidrietumi, norāde, uz apakšējo kreiso stūri vērsta bultiņa
⬅️	bultiņa, norāde, pa kreisi vērsta bultiņa, rietumi
↖️	bultiņa, norāde, uz augšējo kreiso stūri vērsta bultiņa, ziemeļrietumi
↕️	augšup un lejup vērsta bultiņa, bultiņa
↔️	bultiņa, pa kreisi un pa labi vērsta bultiņa
↩️	bultiņa, pa kreisi vērsta izliekta bultiņa
↪️	bultiņa, pa labi vērsta izliekta bultiņa
⤴️	augšup vērsta izliekta bultiņa, bultiņa
⤵️	bultiņa, lejup vērsta izliekta bultiņa
🔃	bultiņa, pulksteņrādītāja virzienā, pulksteņrādītāja virzienā vērstas vertikālas bultiņas
🔄	bultiņa, pretēji pulksteņrādītāja virzienam, pretēji pulksteņrādītāja virzienam vērstas bultiņas
🔙	atpakaļ, bultiņa, bultiņa ar uzrakstu Back
🔚	beigas, beigt, bultiņa, bultiņa ar uzrakstu End
🔛	bultiņa, bultiņa ar uzrakstu On!, ieslēgts
🔜	bultiņa, bultiņa ar uzrakstu Soon, drīz
🔝	augšup, bultiņa, bultiņa ar uzrakstu Top
🛐	lūgšanas, lūgšanu vieta, reliģija
⚛️	ateisms, atoma simbols, atoms
🕉️	hinduisms, om simbols, reliģija
✡️	Dāvida zvaigzne, Dāvids, ebreji, ebreju, jūdi, reliģija, zvaigzne
☸️	budisms, darma, darmas rats, rats, reliģija
☯️	daoisms, iņ, iņ un jaņ, jaņ, reliģija
✝️	kristietība, kristiešu krusts, krusts, reliģija
☦️	kristietība, krusts, pareizticība, pareizticīgo krusts, reliģija
☪️	islāms, musulmaņi, reliģija, zvaigzne un pusmēness
☮️	miera simbols, miers
🕎	menora, reliģija, svečturis
🔯	laime, sešstaru zvaigzne ar punktu vidū, zvaigzne
♈️	auns, zodiaka zīme Auns, zodiaks
♉️	vērsis, zodiaka zīme Vērsis, zodiaks
♊️	dvīņi, zodiaka zīme Dvīņi, zodiaks
♋️	vēzis, zodiaka zīme Vēzis, zodiaks
♌️	lauva, zodiaka zīme Lauva, zodiaks
♍️	jaunava, zodiaka zīme Jaunava, zodiaks
♎️	svari, zodiaka zīme Svari, zodiaks
♏️	skorpions, zodiaka zīme Skorpions, zodiaks
♐️	strēlnieks, zodiaka zīme Strēlnieks, zodiaks
♑️	mežāzis, zodiaka zīme Mežāzis, zodiaks
♒️	zodiaka zīme Ūdensvīrs, zodiaks, ūdensvīrs
♓️	zivis, zodiaka zīme Zivis, zodiaks
⛎	zodiaka zīme Čūsknesis, zodiaks, čūsknesis
🔀	bultiņa, poga Jaukta secība, sakrustota
🔁	atkārtot, bultiņa, poga Atkārtot, pulksteņrādītāja virzienā
🔂	bultiņa, poga Atkārtot vienu dziesmu, pulksteņrādītāja virzienā, vienreiz
▶	atskaņot, pa labi, poga Atskaņot, trijstūris, trīsstūris
⏩	pa labi, poga Pārtīt uz priekšu, pārtīt, uz priekšu
⏭	nākamais, pa labi, poga Nākamā dziesma, tālāk
⏯	apturēt, atskaņot, pa labi, pauze, poga Atskaņot vai apturēt, pārtraukt
◀	atpakaļ, pa kreisi, poga Atpakaļ, trijstūris, trīsstūris
⏪	atpakaļ, attīt, pa kreisi, poga Attīt atpakaļ
⏮	atpakaļ, iepriekšējais, pa kreisi, poga Iepriekšējā dziesma, trijstūris, trīsstūris
🔼	augšup, poga Augšup
⏫	augšup, poga Ātri augšup
🔽	lejup, poga Lejup
⏬	lejup, poga Ātri lejup
⏸️	apturēt, pauze, poga Pauze, pārtraukt
⏹️	apturēt, kvadrāts, poga Pārtraukt, pārtraukt
⏺️	aplis, ierakstīt, poga Ierakstīt, riņķis
⏏️	izstumt, poga Izstumt
🎦	filma, kamera, kino
🔅	samazināt, samazināt spilgtumu, spilgtums
🔆	palielināt, palielināt spilgtumu, spilgtums
📶	antena, mobilais, signāla stipruma joslas, signāls, stiprums, telefons, tālrunis
📳	mobilais, telefons, tālrunis, vibrozvana režīms, vibrozvans
📴	izslēgt, izslēgts mobilais tālrunis, mobilais, telefons, tālrunis
♀️	sieviete, sieviešu simbols
♂️	vīrietis, vīriešu simbols
⚕️	eskulaps, medicīna, medicīnas simbols, personāls
♾️	bezgalība, bezgalīgs, mūžība, vispārīgs
♻️	atkritumu pārstrādes simbols, pārstrāde
⚜	lilija, lilijas simbols
🔱	enkurs, kuģis, trijzaris
📛	nozīmīte, vārda nozīmīte, vārds
🔰	iesācējs, japāņu, japāņu simbols, kas apzīmē iesācēju, simbols
⭕️	aplis, liels, liels aplis, o, riņķis, sarkans
✅	atzīme, balta kontrolzīme, ķeksītis
☑️	atzīme, atzīmēta izvēles rūtiņa, rūtiņa, ķeksītis
✔️	atzīme, kontrolzīme, ķeksītis
✖️	atcelt, krustiņš, matemātika, reizināt, reizināšanas zīme, x
❌	atcelt, krustiņš, reizināt, x
❎	atcelt, krustiņa poga, krustiņš, reizināt, rūtiņa, x
➕	+, matemātika, plus, pluszīme, saskaitīt
➖	-, atņemt, matemātika, mīnuss, mīnuszīme, –
➗	/, dalīt, dalīšanas zīme, matemātika
➰	cilpa, cilpiņa, sproga
➿	cilpa, dubulta cilpa
〽️	mūzika, partijas sākuma zīme, zīme
✳️	astoņstaru zvaigznīte, zvaigznīte
✴️	astoņstaru zvaigzne, zvaigzne, četrstaru zvaigzne
❇️	*, dzirkstis
‼️	divas izsaukuma zīmes, izsaukums, pieturzīme
⁉️	izsaukuma un jautājuma zīme, izsaukums, jautājums, pieturzīme
❓️	jautājuma zīme, jautājums, pieturzīme
❔	balta jautājuma zīme, jautājums, pieturzīme
❕	balta izsaukuma zīme, izsaukums, pieturzīme
❗️	izsaukuma zīme, izsaukums, pieturzīme
〰️	domuzīme, viļņota, viļņota domuzīme
©️	(C), autortiesības
®️	(R), preču zīme, reģistrēta preču zīme, reģistrēts
™️	TM, preču zīme
#⃣	taustiņš, taustiņš: #
*⃣	taustiņš, taustiņš: *
0⃣	taustiņš, taustiņš: 0
1⃣	taustiņš, taustiņš: 1
2⃣	taustiņš, taustiņš: 2
3⃣	taustiņš, taustiņš: 3
4⃣	taustiņš, taustiņš: 4
5⃣	taustiņš, taustiņš: 5
6⃣	taustiņš, taustiņš: 6
7⃣	taustiņš, taustiņš: 7
8⃣	taustiņš, taustiņš: 8
9⃣	taustiņš, taustiņš: 9
🔟	taustiņš, taustiņš: 10
🔠	burti, ievade, latīņu, lielie, lielie latīņu burti
🔡	burti, ievade, latīņu, mazie, mazie latīņu burti
🔢	1234, cipari, ievade
🔣	ievade, simboli
🔤	abc, alfabēts, burti, ievade, latīņu, latīņu burti
🅰️	A, asinsgrupa, poga A
🆎	AB, asinsgrupa, poga AB
🅱️	B, asinsgrupa, poga B
🆑	CL, notīrīt, poga CL
🆒	cool, uzraksts Cool kvadrātveida ietvarā
🆓	bezmaksas, free, uzraksts Free kvadrātveida ietvarā
